"analysis_name","category","group_a","group_b","group_a_n","group_b_n","category_total_n","group_a_pct","group_b_pct","group_a_minus_group_b_percentage_points","within_category_group_a_rate_pct","expected_group_a_n_under_independence","expected_group_b_n_under_independence","observed_minus_expected_group_a_n","observed_to_expected_group_a_ratio","chi_square_statistic","degrees_of_freedom","cramers_v","concentration_band","minimum_expected_cell_count","expected_cells_below_5_n","expected_cells_below_1_n","sparse_cell_warning","reproduction_pass","row_order_invariance_pass"
"national_profile_cluster","1","CBT_INBOUND_ELIGIBLE","NOT_RETAINED_FOR_CBT_INBOUND",979,774,1753,32.4172185430464,25.4020347883164,7.01518375472998,55.8471192241871,872.599307730344,880.400692269656,106.400692269656,1.12193533885147,42.8543943824311,2,0.0840447681671903,"Mild",872.599307730344,0,0,FALSE,TRUE,TRUE
"national_profile_cluster","2","CBT_INBOUND_ELIGIBLE","NOT_RETAINED_FOR_CBT_INBOUND",1052,1260,2312,34.8344370860927,41.3521496553988,-6.51771256930604,45.5017301038062,1150.85544750288,1161.14455249712,-98.8554475028845,0.914102637548981,42.8543943824311,2,0.0840447681671903,"Mild",872.599307730344,0,0,FALSE,TRUE,TRUE
"national_profile_cluster","3","CBT_INBOUND_ELIGIBLE","NOT_RETAINED_FOR_CBT_INBOUND",989,1013,2002,32.7483443708609,33.2458155562849,-0.49747118542394,49.4005994005994,996.545244766771,1005.45475523323,-7.54524476677102,0.992428597892174,42.8543943824311,2,0.0840447681671903,"Mild",872.599307730344,0,0,FALSE,TRUE,TRUE
"supplier","EMIS","CBT_INBOUND_ELIGIBLE","NOT_RETAINED_FOR_CBT_INBOUND",2026,1525,3551,67.0860927152318,50.0492287495898,17.036863965642,57.0543508870741,1767.5984835998,1783.4015164002,258.401516400198,1.14618790341682,185.769071885457,2,0.174984551290349,"Moderate",1.49332454260755,2,0,TRUE,TRUE,TRUE
"supplier","TPP","CBT_INBOUND_ELIGIBLE","NOT_RETAINED_FOR_CBT_INBOUND",991,1522,2513,32.8145695364238,49.9507712504102,-17.1362017139864,39.4349383207322,1250.90819185759,1262.09180814241,-259.90819185759,0.792224406595636,185.769071885457,2,0.174984551290349,"Moderate",1.49332454260755,2,0,TRUE,TRUE,TRUE
"supplier","Unknown","CBT_INBOUND_ELIGIBLE","NOT_RETAINED_FOR_CBT_INBOUND",3,0,3,0.0993377483443709,0,0.0993377483443709,100,1.49332454260755,1.50667545739245,1.50667545739245,2.00894039735099,185.769071885457,2,0.174984551290349,"Moderate",1.49332454260755,2,0,TRUE,TRUE,TRUE
"commissioning_region","East of England","CBT_INBOUND_ELIGIBLE","NOT_RETAINED_FOR_CBT_INBOUND",275,349,624,9.10596026490066,11.4538890712176,-2.34792880631693,44.0705128205128,310.61150486237,313.38849513763,-35.6115048623702,0.885350335371031,376.183661065328,6,0.249007808949781,"Strong",248.887423767925,0,0,FALSE,TRUE,TRUE
"commissioning_region","London","CBT_INBOUND_ELIGIBLE","NOT_RETAINED_FOR_CBT_INBOUND",790,323,1113,26.158940397351,10.6005907449951,15.5583496523559,70.9793351302785,554.023405307401,558.976594692599,235.976594692599,1.42593253720331,376.183661065328,6,0.249007808949781,"Strong",248.887423767925,0,0,FALSE,TRUE,TRUE
"commissioning_region","Midlands","CBT_INBOUND_ELIGIBLE","NOT_RETAINED_FOR_CBT_INBOUND",571,662,1233,18.9072847682119,21.7262881522809,-2.81900338406901,46.3098134630981,613.756387011703,619.243612988297,-42.7563870117026,0.930336550598068,376.183661065328,6,0.249007808949781,"Strong",248.887423767925,0,0,FALSE,TRUE,TRUE
"commissioning_region","North East and Yorkshire","CBT_INBOUND_ELIGIBLE","NOT_RETAINED_FOR_CBT_INBOUND",275,639,914,9.10596026490066,20.9714473252379,-11.8654870603373,30.0875273522976,454.966210647767,459.033789352233,-179.966210647767,0.604440491544336,376.183661065328,6,0.249007808949781,"Strong",248.887423767925,0,0,FALSE,TRUE,TRUE
"commissioning_region","North West","CBT_INBOUND_ELIGIBLE","NOT_RETAINED_FOR_CBT_INBOUND",486,432,918,16.0927152317881,14.177879881851,1.91483534993708,52.9411764705882,456.95731003791,461.04268996209,29.04268996209,1.06355668095053,376.183661065328,6,0.249007808949781,"Strong",248.887423767925,0,0,FALSE,TRUE,TRUE
"commissioning_region","South East","CBT_INBOUND_ELIGIBLE","NOT_RETAINED_FOR_CBT_INBOUND",412,353,765,13.6423841059603,11.5851657367903,2.05721836916998,53.8562091503268,380.797758364925,384.202241635075,31.202241635075,1.08193914210276,376.183661065328,6,0.249007808949781,"Strong",248.887423767925,0,0,FALSE,TRUE,TRUE
"commissioning_region","South West","CBT_INBOUND_ELIGIBLE","NOT_RETAINED_FOR_CBT_INBOUND",211,289,500,6.98675496688742,9.48473908762717,-2.49798412073976,42.2,248.887423767925,251.112576232075,-37.8874237679248,0.847772847682119,376.183661065328,6,0.249007808949781,"Strong",248.887423767925,0,0,FALSE,TRUE,TRUE
"icb","NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board","CBT_INBOUND_ELIGIBLE","NOT_RETAINED_FOR_CBT_INBOUND",28,50,78,0.927152317880795,1.64095831965868,-0.713806001777886,35.8974358974359,38.8264381077963,39.1735618922037,-10.8264381077963,0.721158091356767,1080.4434310506,41,0.422001523867467,"Strong",24.8887423767925,0,0,FALSE,TRUE,TRUE
