"analysis_name","category","group_a","group_b","group_a_n","group_b_n","category_total_n","group_a_pct","group_b_pct","group_a_minus_group_b_percentage_points","within_category_group_a_rate_pct","expected_group_a_n_under_independence","expected_group_b_n_under_independence","observed_minus_expected_group_a_n","observed_to_expected_group_a_ratio","chi_square_statistic","degrees_of_freedom","cramers_v","concentration_band","minimum_expected_cell_count","expected_cells_below_5_n","expected_cells_below_1_n","sparse_cell_warning","reproduction_pass","row_order_invariance_pass"
"national_profile_cluster","1","CBT_OUTCOME_COMPLETE","NOT_CBT_OUTCOME_COMPLETE",466,513,979,32.0054945054945,32.8005115089514,-0.795017003456906,47.5995914198161,471.994701986755,507.005298013245,-5.99470198675499,0.987299217636296,0.258353445336738,2,0.00924918907017656,"No clear",471.994701986755,0,0,FALSE,TRUE,TRUE
"national_profile_cluster","2","CBT_OUTCOME_COMPLETE","NOT_CBT_OUTCOME_COMPLETE",508,544,1052,34.8901098901099,34.7826086956522,0.107501194457718,48.2889733840304,507.18940397351,544.81059602649,0.810596026490089,1.00159821167426,0.258353445336738,2,0.00924918907017656,"No clear",471.994701986755,0,0,FALSE,TRUE,TRUE
"national_profile_cluster","3","CBT_OUTCOME_COMPLETE","NOT_CBT_OUTCOME_COMPLETE",482,507,989,33.1043956043956,32.4168797953964,0.687515808999187,48.7360970677452,476.815894039735,512.184105960265,5.1841059602649,1.01087234302603,0.258353445336738,2,0.00924918907017656,"No clear",471.994701986755,0,0,FALSE,TRUE,TRUE
"supplier","EMIS","CBT_OUTCOME_COMPLETE","NOT_CBT_OUTCOME_COMPLETE",898,1128,2026,61.6758241758242,72.1227621483376,-10.4469379725134,44.3237907206318,976.773509933775,1049.22649006623,-78.7735099337748,0.919353351485632,41.0677343157064,2,0.116612981789152,"Moderate",1.44635761589404,2,0,TRUE,TRUE,TRUE
"supplier","TPP","CBT_OUTCOME_COMPLETE","NOT_CBT_OUTCOME_COMPLETE",558,433,991,38.3241758241758,27.6854219948849,10.6387538292909,56.3067608476287,477.780132450331,513.219867549669,80.2198675496689,1.16790122087801,41.0677343157064,2,0.116612981789152,"Moderate",1.44635761589404,2,0,TRUE,TRUE,TRUE
"supplier","Unknown","CBT_OUTCOME_COMPLETE","NOT_CBT_OUTCOME_COMPLETE",0,3,3,0,0.191815856777494,-0.191815856777494,0,1.44635761589404,1.55364238410596,-1.44635761589404,0,41.0677343157064,2,0.116612981789152,"Moderate",1.44635761589404,2,0,TRUE,TRUE,TRUE
"commissioning_region","East of England","CBT_OUTCOME_COMPLETE","NOT_CBT_OUTCOME_COMPLETE",193,82,275,13.2554945054945,5.24296675191816,8.01252775357635,70.1818181818182,132.582781456954,142.417218543046,60.4172185430463,1.45569430569431,1532.54929216496,6,0.712366937072992,"Strong",101.727152317881,0,0,FALSE,TRUE,TRUE
"commissioning_region","London","CBT_OUTCOME_COMPLETE","NOT_CBT_OUTCOME_COMPLETE",552,238,790,37.9120879120879,15.2173913043478,22.6946966077401,69.873417721519,380.87417218543,409.12582781457,171.12582781457,1.44929753790513,1532.54929216496,6,0.712366937072992,"Strong",101.727152317881,0,0,FALSE,TRUE,TRUE
"commissioning_region","Midlands","CBT_OUTCOME_COMPLETE","NOT_CBT_OUTCOME_COMPLETE",0,571,571,0,36.5089514066496,-36.5089514066496,0,275.290066225166,295.709933774834,-275.290066225166,0,1532.54929216496,6,0.712366937072992,"Strong",101.727152317881,0,0,FALSE,TRUE,TRUE
"commissioning_region","North East and Yorkshire","CBT_OUTCOME_COMPLETE","NOT_CBT_OUTCOME_COMPLETE",221,54,275,15.1785714285714,3.45268542199489,11.7258860065765,80.3636363636364,132.582781456954,142.417218543046,88.4172185430463,1.66688311688312,1532.54929216496,6,0.712366937072992,"Strong",101.727152317881,0,0,FALSE,TRUE,TRUE
"commissioning_region","North West","CBT_OUTCOME_COMPLETE","NOT_CBT_OUTCOME_COMPLETE",0,486,486,0,31.074168797954,-31.074168797954,0,234.309933774834,251.690066225166,-234.309933774834,0,1532.54929216496,6,0.712366937072992,"Strong",101.727152317881,0,0,FALSE,TRUE,TRUE
"commissioning_region","South East","CBT_OUTCOME_COMPLETE","NOT_CBT_OUTCOME_COMPLETE",316,96,412,21.7032967032967,6.1381074168798,15.5651892864169,76.6990291262136,198.633112582781,213.366887417219,117.366887417219,1.5908727195135,1532.54929216496,6,0.712366937072992,"Strong",101.727152317881,0,0,FALSE,TRUE,TRUE
"commissioning_region","South West","CBT_OUTCOME_COMPLETE","NOT_CBT_OUTCOME_COMPLETE",174,37,211,11.9505494505495,2.36572890025575,9.5848205502937,82.4644549763033,101.727152317881,109.272847682119,72.2728476821192,1.71045778865684,1532.54929216496,6,0.712366937072992,"Strong",101.727152317881,0,0,FALSE,TRUE,TRUE
"icb","NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board","CBT_OUTCOME_COMPLETE","NOT_CBT_OUTCOME_COMPLETE",19,9,28,1.30494505494505,0.575447570332481,0.729497484612574,67.8571428571429,13.4993377483444,14.5006622516556,5.50066225165563,1.40747645211931,1574.67989381467,41,0.722092226368863,"Strong",7.2317880794702,0,0,FALSE,TRUE,TRUE
"icb","NHS Bedfordshire, Luton and Milton Keynes Integrated Care Board","CBT_OUTCOME_COMPLETE","NOT_CBT_OUTCOME_COMPLETE",39,28,67,2.67857142857143,1.79028132992327,0.888290098648155,58.2089552238806,32.3019867549669,34.6980132450331,6.69801324503311,1.20735607675906,1574.67989381467,41,0.722092226368863,"Strong",7.2317880794702,0,0,FALSE,TRUE,TRUE
"icb","NHS Birmingham and Solihull Integrated Care Board","CBT_OUTCOME_COMPLETE","NOT_CBT_OUTCOME_COMPLETE",0,33,33,0,2.10997442455243,-2.10997442455243,0,15.9099337748344,17.0900662251656,-15.9099337748344,0,1574.67989381467,41,0.722092226368863,"Strong",7.2317880794702,0,0,FALSE,TRUE,TRUE
"icb","NHS Black Country Integrated Care Board","CBT_OUTCOME_COMPLETE","NOT_CBT_OUTCOME_COMPLETE",0,52,52,0,3.32480818414322,-3.32480818414322,0,25.0701986754967,26.9298013245033,-25.0701986754967,0,1574.67989381467,41,0.722092226368863,"Strong",7.2317880794702,0,0,FALSE,TRUE,TRUE
"icb","NHS Bristol, North Somerset and South Gloucestershire Integrated Care Board","CBT_OUTCOME_COMPLETE","NOT_CBT_OUTCOME_COMPLETE",47,5,52,3.22802197802198,0.319693094629156,2.90832888339282,90.3846153846154,25.0701986754967,26.9298013245033,21.9298013245033,1.87473584108199,1574.67989381467,41,0.722092226368863,"Strong",7.2317880794702,0,0,FALSE,TRUE,TRUE
"icb","NHS Buckinghamshire, Oxfordshire and Berkshire West Integrated Care Board","CBT_OUTCOME_COMPLETE","NOT_CBT_OUTCOME_COMPLETE",79,39,118,5.42582417582418,2.49360613810742,2.93221803771676,66.9491525423729,56.8900662251656,61.1099337748344,22.1099337748344,1.38864313652449,1574.67989381467,41,0.722092226368863,"Strong",7.2317880794702,0,0,FALSE,TRUE,TRUE
"icb","NHS Cambridgeshire and Peterborough Integrated Care Board","CBT_OUTCOME_COMPLETE","NOT_CBT_OUTCOME_COMPLETE",20,1,21,1.37362637362637,0.0639386189258312,1.30968775470054,95.2380952380952,10.1245033112583,10.8754966887417,9.87549668874172,1.97540554683412,1574.67989381467,41,0.722092226368863,"Strong",7.2317880794702,0,0,FALSE,TRUE,TRUE
"icb","NHS Cheshire and Merseyside Integrated Care Board","CBT_OUTCOME_COMPLETE","NOT_CBT_OUTCOME_COMPLETE",0,96,96,0,6.1381074168798,-6.1381074168798,0,46.2834437086093,49.7165562913907,-46.2834437086093,0,1574.67989381467,41,0.722092226368863,"Strong",7.2317880794702,0,0,FALSE,TRUE,TRUE
"icb","NHS Cornwall and the Isles of Scilly Integrated Care Board","CBT_OUTCOME_COMPLETE","NOT_CBT_OUTCOME_COMPLETE",17,1,18,1.16758241758242,0.0639386189258312,1.10364379865659,94.4444444444444,8.67814569536424,9.32185430463576,8.32185430463576,1.95894383394383,1574.67989381467,41,0.722092226368863,"Strong",7.2317880794702,0,0,FALSE,TRUE,TRUE
"icb","NHS Coventry and Warwickshire Integrated Care Board","CBT_OUTCOME_COMPLETE","NOT_CBT_OUTCOME_COMPLETE",0,92,92,0,5.88235294117647,-5.88235294117647,0,44.3549668874172,47.6450331125828,-44.3549668874172,0,1574.67989381467,41,0.722092226368863,"Strong",7.2317880794702,0,0,FALSE,TRUE,TRUE
"icb","NHS Derby and Derbyshire Integrated Care Board","CBT_OUTCOME_COMPLETE","NOT_CBT_OUTCOME_COMPLETE",0,23,23,0,1.47058823529412,-1.47058823529412,0,11.0887417218543,11.9112582781457,-11.0887417218543,0,1574.67989381467,41,0.722092226368863,"Strong",7.2317880794702,0,0,FALSE,TRUE,TRUE
"icb","NHS Devon Integrated Care Board","CBT_OUTCOME_COMPLETE","NOT_CBT_OUTCOME_COMPLETE",30,8,38,2.06043956043956,0.51150895140665,1.54893060903291,78.9473684210526,18.3205298013245,19.6794701986755,11.6794701986755,1.63750722961249,1574.67989381467,41,0.722092226368863,"Strong",7.2317880794702,0,0,FALSE,TRUE,TRUE
"icb","NHS Dorset Integrated Care Board","CBT_OUTCOME_COMPLETE","NOT_CBT_OUTCOME_COMPLETE",16,2,18,1.0989010989011,0.127877237851662,0.971023861049437,88.8888888888889,8.67814569536424,9.32185430463576,7.32185430463576,1.84371184371184,1574.67989381467,41,0.722092226368863,"Strong",7.2317880794702,0,0,FALSE,TRUE,TRUE
"icb","NHS Frimley Integrated Care Board","CBT_OUTCOME_COMPLETE","NOT_CBT_OUTCOME_COMPLETE",35,12,47,2.40384615384615,0.767263427109974,1.63658272673618,74.468085106383,22.6596026490066,24.3403973509934,12.3403973509934,1.54459901800327,1574.67989381467,41,0.722092226368863,"Strong",7.2317880794702,0,0,FALSE,TRUE,TRUE
"icb","NHS Gloucestershire Integrated Care Board","CBT_OUTCOME_COMPLETE","NOT_CBT_OUTCOME_COMPLETE",17,1,18,1.16758241758242,0.0639386189258312,1.10364379865659,94.4444444444444,8.67814569536424,9.32185430463576,8.32185430463576,1.95894383394383,1574.67989381467,41,0.722092226368863,"Strong",7.2317880794702,0,0,FALSE,TRUE,TRUE
"icb","NHS Greater Manchester Integrated Care Board","CBT_OUTCOME_COMPLETE","NOT_CBT_OUTCOME_COMPLETE",0,271,271,0,17.3273657289003,-17.3273657289003,0,130.654304635762,140.345695364238,-130.654304635762,0,1574.67989381467,41,0.722092226368863,"Strong",7.2317880794702,0,0,FALSE,TRUE,TRUE
"icb","NHS Hampshire and Isle of Wight Integrated Care Board","CBT_OUTCOME_COMPLETE","NOT_CBT_OUTCOME_COMPLETE",56,11,67,3.84615384615385,0.703324808184143,3.1428290379697,83.5820895522388,32.3019867549669,34.6980132450331,23.6980132450331,1.73363949483352,1574.67989381467,41,0.722092226368863,"Strong",7.2317880794702,0,0,FALSE,TRUE,TRUE
"icb","NHS Herefordshire and Worcestershire Integrated Care Board","CBT_OUTCOME_COMPLETE","NOT_CBT_OUTCOME_COMPLETE",0,72,72,0,4.60358056265985,-4.60358056265985,0,34.712582781457,37.287417218543,-34.712582781457,0,1574.67989381467,41,0.722092226368863,"Strong",7.2317880794702,0,0,FALSE,TRUE,TRUE
"icb","NHS Hertfordshire and West Essex Integrated Care Board","CBT_OUTCOME_COMPLETE","NOT_CBT_OUTCOME_COMPLETE",58,22,80,3.98351648351648,1.40664961636829,2.5768668671482,72.5,38.5695364238411,41.4304635761589,19.4304635761589,1.50377747252747,1574.67989381467,41,0.722092226368863,"Strong",7.2317880794702,0,0,FALSE,TRUE,TRUE
"icb","NHS Humber and North Yorkshire Integrated Care Board","CBT_OUTCOME_COMPLETE","NOT_CBT_OUTCOME_COMPLETE",49,15,64,3.36538461538462,0.959079283887468,2.40630533149715,76.5625,30.8556291390728,33.1443708609272,18.1443708609272,1.58804086538462,1574.67989381467,41,0.722092226368863,"Strong",7.2317880794702,0,0,FALSE,TRUE,TRUE
