predictor,approved_construct_label,profile,profile_label,encoded_outcome,average_marginal_effect_on_profile_probability,robust_standard_error,lower_95_ci,upper_95_ci,model_n,outcome_encoding,reference_profile,covariance,interpretation_boundary
z_log_registered_list_size,Log registered list size,2,"Profile 2: higher face-to-face share, longer delay, lower OCS activity",0,-0.0034326696771792885,0.006213541979700101,-0.015610988173819194,0.008745648819460616,5774,0=Profile 2; 1=Profile 1; 2=Profile 3,Profile 2 (coefficient reference),HC3,Average marginal association from the unchanged practice-level model; not causal.
z_registered_population_age_65_plus_pct,Registered population aged 65+ (%),2,"Profile 2: higher face-to-face share, longer delay, lower OCS activity",0,0.06862033605720183,0.00848739250933873,0.051985352416242886,0.08525531969816078,5774,0=Profile 2; 1=Profile 1; 2=Profile 3,Profile 2 (coefficient reference),HC3,Average marginal association from the unchanged practice-level model; not causal.
z_fully_qualified_gp_fte_per_10000,"Fully qualified GP FTE per 10,000 registered patients",2,"Profile 2: higher face-to-face share, longer delay, lower OCS activity",0,0.0018948020153039173,0.007153764962065317,-0.01212631966420865,0.015915923694816484,5774,0=Profile 2; 1=Profile 1; 2=Profile 3,Profile 2 (coefficient reference),HC3,Average marginal association from the unchanged practice-level model; not causal.
z_patient_weighted_average_imd2025_score,Patient-weighted average IMD 2025 score,2,"Profile 2: higher face-to-face share, longer delay, lower OCS activity",0,-0.03080806169427584,0.007696058144652796,-0.04589205848072147,-0.01572406490783021,5774,0=Profile 2; 1=Profile 1; 2=Profile 3,Profile 2 (coefficient reference),HC3,Average marginal association from the unchanged practice-level model; not causal.
z_registered_patients_rural_pct,Patient-weighted rural share (%),2,"Profile 2: higher face-to-face share, longer delay, lower OCS activity",0,0.02996590359638185,0.007505996583397297,0.015254420624842452,0.044677386567921244,5774,0=Profile 2; 1=Profile 1; 2=Profile 3,Profile 2 (coefficient reference),HC3,Average marginal association from the unchanged practice-level model; not causal.
z_log_registered_list_size,Log registered list size,1,"Profile 1: lower recorded activity, higher DNA and shorter-delay shares",1,-0.059903106762474005,0.005711660883176041,-0.07109775638540529,-0.04870845713954273,5774,0=Profile 2; 1=Profile 1; 2=Profile 3,Profile 2 (coefficient reference),HC3,Average marginal association from the unchanged practice-level model; not causal.
z_registered_population_age_65_plus_pct,Registered population aged 65+ (%),1,"Profile 1: lower recorded activity, higher DNA and shorter-delay shares",1,-0.12330605897876605,0.007694280971070612,-0.13838657256899634,-0.10822554538853578,5774,0=Profile 2; 1=Profile 1; 2=Profile 3,Profile 2 (coefficient reference),HC3,Average marginal association from the unchanged practice-level model; not causal.
z_fully_qualified_gp_fte_per_10000,"Fully qualified GP FTE per 10,000 registered patients",1,"Profile 1: lower recorded activity, higher DNA and shorter-delay shares",1,-0.03824601886551412,0.005389003971120864,-0.04880827256145434,-0.027683765169573896,5774,0=Profile 2; 1=Profile 1; 2=Profile 3,Profile 2 (coefficient reference),HC3,Average marginal association from the unchanged practice-level model; not causal.
z_patient_weighted_average_imd2025_score,Patient-weighted average IMD 2025 score,1,"Profile 1: lower recorded activity, higher DNA and shorter-delay shares",1,0.017707829047117443,0.0064106515436929785,0.005143182904043104,0.030272475190191783,5774,0=Profile 2; 1=Profile 1; 2=Profile 3,Profile 2 (coefficient reference),HC3,Average marginal association from the unchanged practice-level model; not causal.
z_registered_patients_rural_pct,Patient-weighted rural share (%),1,"Profile 1: lower recorded activity, higher DNA and shorter-delay shares",1,-0.02661949742292201,0.009158917595221578,-0.0445706460469265,-0.008668348798917515,5774,0=Profile 2; 1=Profile 1; 2=Profile 3,Profile 2 (coefficient reference),HC3,Average marginal association from the unchanged practice-level model; not causal.
z_log_registered_list_size,Log registered list size,3,"Profile 3: higher recorded activity, higher same-day share, greater variation",2,0.0633357764396533,0.006312333213527463,0.05096383068272349,0.0757077221965831,5774,0=Profile 2; 1=Profile 1; 2=Profile 3,Profile 2 (coefficient reference),HC3,Average marginal association from the unchanged practice-level model; not causal.
z_registered_population_age_65_plus_pct,Registered population aged 65+ (%),3,"Profile 3: higher recorded activity, higher same-day share, greater variation",2,0.054685722921564234,0.008601588542297695,0.03782691916882837,0.0715445266743001,5774,0=Profile 2; 1=Profile 1; 2=Profile 3,Profile 2 (coefficient reference),HC3,Average marginal association from the unchanged practice-level model; not causal.
z_fully_qualified_gp_fte_per_10000,"Fully qualified GP FTE per 10,000 registered patients",3,"Profile 3: higher recorded activity, higher same-day share, greater variation",2,0.0363512168502102,0.006307423170253736,0.023988894601259428,0.04871353909916097,5774,0=Profile 2; 1=Profile 1; 2=Profile 3,Profile 2 (coefficient reference),HC3,Average marginal association from the unchanged practice-level model; not causal.
z_patient_weighted_average_imd2025_score,Patient-weighted average IMD 2025 score,3,"Profile 3: higher recorded activity, higher same-day share, greater variation",2,0.013100232647158398,0.008004113168425473,-0.00258754089113831,0.028788006185455108,5774,0=Profile 2; 1=Profile 1; 2=Profile 3,Profile 2 (coefficient reference),HC3,Average marginal association from the unchanged practice-level model; not causal.
z_registered_patients_rural_pct,Patient-weighted rural share (%),3,"Profile 3: higher recorded activity, higher same-day share, greater variation",2,-0.0033464061734598373,0.007873177120599888,-0.018777549773740382,0.012084737426820709,5774,0=Profile 2; 1=Profile 1; 2=Profile 3,Profile 2 (coefficient reference),HC3,Average marginal association from the unchanged practice-level model; not causal.
