measure_id,outcome,profile,profile_n,primary_valid_n,coverage_pct,estimate_median,estimate_q1,estimate_q3,evaluated_base_median,evaluated_base_q1,evaluated_base_q3,ci_width_median,ci_width_q1,ci_width_q3,suppressed_count,interval_coded_count,primary_base_threshold
GPPS-M01,gpps_overall_practice_experience_good_pct,1,1753,1752,99.94295493439817,76.8877375,68.90899625,84.098895,100.0,91.0,110.0,16.08409,9.89197,25.382659750000002,1,0,10
GPPS-M01,gpps_overall_practice_experience_good_pct,2,2312,2312,100.0,81.609737,73.97918899999999,88.5801945,108.0,100.0,116.0,15.7883375,9.752776749999999,23.32563575,0,0,10
GPPS-M01,gpps_overall_practice_experience_good_pct,3,2002,2002,100.0,78.3606445,71.057093,85.0785405,106.0,98.0,115.0,18.865502499999998,12.355689,26.59916925,0,0,10
GPPS-M02,gpps_contact_experience_good_pct,1,1753,1752,99.94295493439817,73.7408705,64.34528875,82.24239675,98.0,89.0,108.0,16.8769525,10.33864375,26.49550125,1,0,10
GPPS-M02,gpps_contact_experience_good_pct,2,2312,2312,100.0,78.16757100000001,69.03002675,86.00369425000001,106.0,98.0,115.0,16.7460515,10.549345,24.66301825,0,0,10
GPPS-M02,gpps_contact_experience_good_pct,3,2002,2002,100.0,73.633517,65.5954595,81.49556075000001,105.0,96.0,114.0,20.085926,13.28303475,28.17419375,0,0,10
GPPS-M03,gpps_preferred_professional_continuity_fulfilled_pct,1,1753,1748,99.71477467199087,42.2272385,31.454689249999998,54.929767999999996,34.0,27.0,42.0,30.4846695,19.98725925,46.648061999999996,5,0,10
GPPS-M03,gpps_preferred_professional_continuity_fulfilled_pct,2,2312,2309,99.87024221453287,44.4481,31.744891,57.517956,36.0,29.0,43.0,32.628857,22.912893,45.758788,3,0,10
GPPS-M03,gpps_preferred_professional_continuity_fulfilled_pct,3,2002,1997,99.75024975024975,37.362876,26.837499,48.997051,31.0,25.0,38.0,38.531486,27.49741,52.132316,5,0,10
GPPS-M04,gpps_long_term_condition_support_good_pct,1,1753,1751,99.88590986879635,67.656223,59.248817,75.2853515,49.0,41.0,56.0,25.841397,16.983395,39.142653499999994,2,0,10
GPPS-M04,gpps_long_term_condition_support_good_pct,2,2312,2312,100.0,73.5255665,66.27579275000001,80.02364125,54.0,49.0,61.0,25.529624,16.8316555,35.535804,0,0,10
GPPS-M04,gpps_long_term_condition_support_good_pct,3,2002,2002,100.0,70.81071750000001,63.285111,77.65543825,54.0,47.0,60.0,29.003784500000002,20.101079,39.694843,0,0,10
GPPS-M06,gpps_next_step_clarity_pct,1,1753,1752,99.94295493439817,83.3356095,77.19453974999999,88.60640525,94.0,85.0,105.0,15.0437265,9.27529475,23.7524095,1,0,10
GPPS-M06,gpps_next_step_clarity_pct,2,2312,2312,100.0,87.0623095,81.25098600000001,91.8616945,103.0,95.0,112.0,14.3092425,8.925575250000001,21.43596325,0,0,10
GPPS-M06,gpps_next_step_clarity_pct,3,2002,2002,100.0,85.58156149999999,79.79183900000001,89.9272065,101.0,92.0,110.0,16.8334135,10.9019475,24.33132475,0,0,10
