model_id,display_name,requested_runs,successful_runs,failed_runs,converged_runs,mean_fit_seconds,minimum_cluster_retention,reference_ari_mean,reference_ari_standard_deviation,reference_ari_q1,reference_ari_median,reference_ari_q3,reference_ari_iqr,reference_ari_fifth_percentile,reference_ari_minimum,reference_ari_maximum,reference_nmi_mean,reference_nmi_standard_deviation,reference_nmi_q1,reference_nmi_median,reference_nmi_q3,reference_nmi_iqr,reference_nmi_fifth_percentile,reference_nmi_minimum,reference_nmi_maximum,pairwise_ari_mean,pairwise_ari_standard_deviation,pairwise_ari_q1,pairwise_ari_median,pairwise_ari_q3,pairwise_ari_iqr,pairwise_ari_fifth_percentile,pairwise_ari_minimum,pairwise_ari_maximum,pairwise_nmi_mean,pairwise_nmi_standard_deviation,pairwise_nmi_q1,pairwise_nmi_median,pairwise_nmi_q3,pairwise_nmi_iqr,pairwise_nmi_fifth_percentile,pairwise_nmi_minimum,pairwise_nmi_maximum,aligned_agreement_mean,aligned_agreement_standard_deviation,aligned_agreement_q1,aligned_agreement_median,aligned_agreement_q3,aligned_agreement_iqr,aligned_agreement_fifth_percentile,aligned_agreement_minimum,aligned_agreement_maximum,smallest_cluster_share_mean,smallest_cluster_share_standard_deviation,smallest_cluster_share_q1,smallest_cluster_share_median,smallest_cluster_share_q3,smallest_cluster_share_iqr,smallest_cluster_share_fifth_percentile,smallest_cluster_share_minimum,smallest_cluster_share_maximum,mean_max_posterior_mean,mean_max_posterior_standard_deviation,mean_max_posterior_q1,mean_max_posterior_median,mean_max_posterior_q3,mean_max_posterior_iqr,mean_max_posterior_fifth_percentile,mean_max_posterior_minimum,mean_max_posterior_maximum
km14_k2_robust,14 features | K-Means k=2 | robust,100,100,0,100,0.5498659880040213,0.894397420395002,0.9470508085091264,0.04638410629063648,0.9389256470710237,0.9596083589505577,0.9756243934727962,0.03669874640177251,0.8458923334981472,0.7607599569210285,0.9925941210409722,0.9067785553967944,0.060647263927144264,0.8875041649593813,0.9214030971035355,0.9479419922817358,0.060437827322354476,0.7765695909163477,0.6795681811942323,0.9806265745052064,0.9211295553141242,0.05811755254465222,0.9069584711290075,0.9391237004982664,0.9584723082941393,0.051513837165131804,0.777538964960011,0.6608010093434139,0.9948559498708839,0.8707000833324774,0.07211984530741751,0.8456126440828493,0.8892538479191616,0.9191440265762124,0.0735313824933631,0.6997794933346486,0.580177783118114,0.9860914593144933,0.9864310735627447,0.01231964309760027,0.984494127343911,0.989800123634865,0.9938697712754998,0.00937564393158885,0.9598701833917165,0.9361219864001648,0.9981454770245208,0.48329486915310116,0.008027549260122028,0.4785184422007006,0.4838244384916546,0.4887698330929322,0.010251390892231593,0.4691015866474345,0.461364104677519,0.4998969709458067,,,,,,,,,
km14_k3_robust,14 features | K-Means k=3 | robust (proposed primary),100,100,0,100,0.7038827119959751,0.9295278365045808,0.9548912286669848,0.021067285526482744,0.9483451118084391,0.9598587321060184,0.9682837345263289,0.01993862271788982,0.9164878413799237,0.8666328865160612,0.9853379128885,0.9255592009562992,0.0286451263272506,0.9143859795815601,0.9307260635590642,0.9435292366851453,0.02914325710358523,0.8737062546317163,0.8096490630953455,0.9716167494364149,0.9356076396599596,0.026403777760016213,0.922155928449168,0.9409336513550199,0.9537916453545201,0.03163571690535205,0.8838446433504578,0.7882952771876661,0.9898134738054668,0.899574628775896,0.03370668480445306,0.8808893214100506,0.905084354412284,0.9228396155805364,0.04195029417048579,0.8361605552442637,0.7253560283755014,0.9801754000184012,0.9848815165876779,0.00720633178782891,0.9826396043684318,0.9866062229548732,0.9893364928909952,0.006696888522563449,0.9721718524623942,0.9534308675046363,0.9950546053987224,0.28733566865856164,0.0050392354925637645,0.2845662476818463,0.2872450030908716,0.2901298166082835,0.0055635689264372234,0.2794147949721821,0.2691118895528539,0.2977539666185864,,,,,,,,,
km14_k4_robust,14 features | K-Means k=4 | robust,100,100,0,100,0.9961956690001534,0.9169278996865204,0.9499728063887838,0.02898412021992195,0.9433789475382159,0.9570501489125884,0.9693892194222998,0.02601027188408389,0.8847624549219144,0.8537497385558317,0.9864490345120958,0.9301067610996563,0.03091543552132082,0.9206870741625509,0.935031754776809,0.9522644558342303,0.03157738167167934,0.8619503746022997,0.8324998843002969,0.9741513899936418,0.9301523113958338,0.03432483467016678,0.9118250725283363,0.9389791115771203,0.9554680669200634,0.04364299439172703,0.8597462477751181,0.7921555857336039,0.9900942606754426,0.9074839865051403,0.03584075674044302,0.8875579641079372,0.9144849930244392,0.9337768434184388,0.046218879310501615,0.8366462622800345,0.7719974238821262,0.9822052193163966,0.9826890583144448,0.009930926170337303,0.9806820523387596,0.9846486709252009,0.9897486091077684,0.009066556769008804,0.9606532042035856,0.9491036472285184,0.9950546053987224,0.07806099320008238,0.0016398710212694714,0.0768596744281887,0.0781990521327014,0.0791263136204409,0.002266639192252201,0.07561302287244998,0.0741809190191634,0.0822171852462394,,,,,,,,,
ward14_k3_robust,14 features | Ward k=3 | robust,100,100,0,100,0.7517086110042874,0.0,0.4071987765869984,0.1957006300988266,0.24060167963613865,0.4050527975832562,0.5861818328592294,0.34558015322309077,0.10684459466452648,0.0359193875398111,0.7135422656638911,0.45384999850520313,0.11891108105770344,0.39999832631909693,0.47205937972551865,0.5437282383906615,0.1437299120715646,0.23235034630452533,0.180582761959436,0.6466639503186967,0.31628564558161903,0.16999976739390668,0.17814699887310503,0.29418227923235274,0.44185296505586924,0.2637059661827642,0.0714399029035962,-0.01585293009983744,0.7515234170820331,0.3860916455728523,0.12619414145208693,0.2849078289421518,0.41030827300017225,0.4798050216549795,0.19489719271282774,0.16975910518434487,0.07946461115447967,0.6712587556492403,0.7569008860498659,0.1296901535506293,0.6780342056459921,0.785905625386359,0.8716773130022667,0.19364310735627455,0.5379765093756439,0.4621883371110653,0.9144858850195756,0.09908510199876361,0.04477774075986266,0.08051720585205026,0.0822171852462394,0.084277766330105,0.0037605604780547447,0.07829177828147538,0.0772717906449618,0.2796208530805687,,,,,,,,,
gmm14_spherical_k3_robust,14 features | spherical GMM k=3 | robust,100,100,0,100,0.7888374399970053,0.9146620847651776,0.9484056221245324,0.02110918802378595,0.9395625266296209,0.9521281583277799,0.9624252950723343,0.0228627684427134,0.9149130331886238,0.8773517107430493,0.9835784692286186,0.9193733705038711,0.024571482458194727,0.9077305044437639,0.9212558486642175,0.9334142671555319,0.025683762711767977,0.8782845516619162,0.8416506507417426,0.965013239763166,0.927948375440519,0.029851762103997356,0.9122523553034318,0.933058018327072,0.9494959529392667,0.037243597635834846,0.8705498458589684,0.7699308117688789,0.9860065898082657,0.8943583106813763,0.03252656757980452,0.8749053309720866,0.8979140638722511,0.9179365250690276,0.043031194096941006,0.8347856897667122,0.7404446387012245,0.970212981994369,0.9830331753554501,0.007001947639976393,0.9799608489594066,0.9840304966000413,0.987224397280033,0.007263548320626367,0.9716257984751698,0.958788378322687,0.9944364310735628,0.22867916752524206,0.006376180633952375,0.22413970739748607,0.229033587471667,0.23330929322068822,0.009169585823202153,0.21944158252627236,0.2122398516381619,0.2443849165464661,0.9003622521175292,0.001623163318764249,0.8993849426899245,0.9004825293430208,0.9014598397061159,0.002074897016191346,0.8975294540106247,0.8965990548546964,0.903318728263283
km12_no_ocs_k3_robust,12 features (no OCS type shares) | K-Means k=3 | robust,100,100,0,100,0.7116595029999735,0.9249737670514164,0.9414156011195806,0.03258075406521527,0.9162804094702418,0.9460855486297539,0.970771117562096,0.05449070809185419,0.8835726657639764,0.855747731397032,0.9878906720199194,0.9107067956163223,0.03980191813237447,0.87890527411456,0.9130005737993458,0.9471685537265031,0.06826327961194312,0.842010866218901,0.8141097676705655,0.9734993897284197,0.9197834023543981,0.04222688022014111,0.8933062967196883,0.9280221687730505,0.9535504270699253,0.06024413035023701,0.8386737487752013,0.7578272234792416,0.9936878916886401,0.884511332939281,0.04820889216287324,0.852298291632495,0.8906597029290301,0.9229832005193219,0.07068490888682688,0.7954586873057402,0.7183765052998498,0.9859910308239503,0.9799134555944776,0.011373955096756856,0.971563981042654,0.9816608283535957,0.9901607253245415,0.01859674428188751,0.9593962497424274,0.949309705336905,0.9958788378322688,0.27980424479703264,0.008049991446736161,0.2737481969915516,0.2778693591592829,0.2855965382237791,0.0118483412322275,0.2704409643519472,0.2637543787348032,0.3018751287863177,,,,,,,,,
gmm12_no_ocs_spherical_k3_robust,12 features (no OCS type shares) | spherical GMM k=3 | robust,100,100,0,100,0.6163386520015774,0.9347181008902076,0.9571300523987543,0.016251303763319912,0.9484421575070525,0.9584568434479928,0.9697427350361781,0.02130057752912562,0.9333824131772781,0.8919228515220861,0.9819379443113988,0.9307317458196646,0.020427154796236403,0.9189935850269477,0.9321794286861882,0.9459123303931339,0.026918745366186214,0.9004904171698931,0.8520540092987287,0.9635046769961216,0.9415040254272913,0.0230355791785103,0.9291061821884349,0.9457714147191487,0.957862394542357,0.028756212353922117,0.8981328113452539,0.8030465487327937,0.9882436981040956,0.9106013435278405,0.026995440836800878,0.8951480400157203,0.9142483580616696,0.9296363133045304,0.0344882732888101,0.861319560140317,0.7619475718522678,0.9757133462118425,0.985736657737482,0.005454740696741968,0.9826396043684318,0.9862971357922935,0.9899031526890584,0.007263548320626589,0.9777251184834124,0.9639398310323511,0.9940243148567895,0.2601504224191222,0.005908051448960294,0.2558726560890171,0.2602513908922316,0.2645786111683494,0.008705955079332306,0.25052544817638567,0.2476818462806511,0.2761178652379971,0.8966546530323198,0.001371957656017877,0.8957146500039971,0.8968080412212859,0.8974128287706624,0.001698178766665337,0.8944352497878734,0.8937834882764724,0.9002132366957637
gmm12_no_ocs_diag_k3_robust,12 features (no OCS type shares) | diagonal GMM k=3 | robust,100,100,0,100,0.6822057559964014,0.9516129032258064,0.9684766249292275,0.010790183119611097,0.962713723333261,0.9696699959106859,0.9763876334061734,0.01367391007291241,0.9495701745751096,0.9246835492373467,0.9847666865599596,0.9454137104099979,0.014314901082265907,0.936512550028436,0.9468105982080843,0.9549044940539106,0.018391944025474616,0.9244423286961359,0.893720962158412,0.968146114063792,0.9557319485285865,0.014855985511316613,0.9477001577186572,0.9582503886424514,0.9662868806679212,0.018586722949264,0.9281585054124131,0.8658445844177447,0.9874140476270374,0.9273591378081095,0.01827300145671213,0.9164547918728074,0.9292953157720083,0.9402344738250044,0.02377968195219693,0.8942936745316351,0.8327709345965114,0.9734753584350911,0.9896270348238203,0.003557984888793557,0.987791057078096,0.9903152689058314,0.9921697918813104,0.004378734803214379,0.9841129198433958,0.9752730269936122,0.994848547290336,0.24582114156192036,0.0047464761821819764,0.242530393570987,0.2452091489800123,0.2489181949309705,0.006387801359983514,0.23901710282299607,0.2361425922110035,0.2590150422419122,0.9201980617139597,0.0012458691143633646,0.919372588286665,0.9201323907396266,0.9209669336650383,0.0015943453783733297,0.9186152658069614,0.917496907566754,0.924372936335705
km13_no_same_day_k3_robust,13 features (no same-day share) | K-Means k=3 | robust,100,100,0,100,0.7095662509981776,0.907305095150399,0.9430705482719772,0.028035313116821725,0.926689266152613,0.9439183502674457,0.9667006021627701,0.04001133601015705,0.9036747261057756,0.8533629506590736,0.98846061456729,0.9105301149437008,0.03576131598858924,0.8866445918153382,0.910090746564438,0.9401490207863185,0.05350442897098029,0.8579556168694465,0.8074509466598588,0.9757127430998902,0.9255980317784737,0.03560786501267573,0.9117479753529945,0.932780691022936,0.9490157248591943,0.03726774950619982,0.8520125913994614,0.7539267515385562,0.9896272139381331,0.887436461032504,0.04097089542883713,0.8683221171266069,0.8934261469669373,0.9152310625449561,0.046908945418349224,0.8055105771656238,0.7080105758758682,0.9794474630491243,0.9805666597980631,0.009663459569025454,0.9749639398310324,0.9811456830826294,0.9887698330929322,0.013805893261899849,0.9669688852256336,0.9486915310117452,0.9960848959406552,0.2938862559241706,0.005011458677178064,0.2909540490418298,0.2940449206676283,0.29780548114568306,0.00685143210385325,0.2843601895734597,0.2833298990315269,0.302699361219864,,,,,,,,,
km12_no_change_k3_robust,12 features (no monthly-change measures) | K-Means k=3 | robust,100,100,0,100,0.6826416669948958,0.9621498864496594,0.9622873599115018,0.015938812014449574,0.9543055946472647,0.9617066212361827,0.973693781207073,0.01938818655980823,0.9365558511230209,0.9103531360559044,0.9884956037714084,0.9361760477869041,0.02267617594084581,0.9230719569568463,0.9346477910738002,0.9528511005508665,0.02977914359402023,0.9023990697419058,0.8684979564608107,0.9754324850264888,0.94694775028657,0.022878004470156966,0.9345825730113956,0.9508856662457575,0.963712906601917,0.029130333590521418,0.9033324886075074,0.838028034134322,0.9919586162089957,0.9151355546295109,0.02973502793055822,0.8974843617252948,0.9187979333112857,0.9369546345991902,0.03947027287389537,0.8598681222302372,0.7876241951199702,0.9826851427755735,0.9873665773748198,0.005500553976788649,0.9843395837626212,0.9870183391716464,0.991397073974861,0.007057490212239781,0.9788996497012158,0.9688852256336288,0.9960848959406552,0.27019575520296724,0.003811202406984188,0.26761796826705125,0.2703482382031733,0.2730269936121986,0.005409025345147367,0.2645270966412528,0.2608695652173913,0.2796208530805687,,,,,,,,,
km14_k3_standard,14 features | K-Means k=3 | standard scaling,100,100,0,100,0.8801786250004079,0.8916786226685797,0.9366396023328605,0.03551290764682917,0.926874239591932,0.9462238458486619,0.9566283329791598,0.029754093387227787,0.8496810084455888,0.7917730784263892,0.9824950321219176,0.8989801799013283,0.04573287920954121,0.8842836647075075,0.9094655612041228,0.9248607971594893,0.0405771324519818,0.7845323051170977,0.7279593291938785,0.9666616657371488,0.9135144383146111,0.04612072702007427,0.8902901962093539,0.9235894445933592,0.9466327045748024,0.05634250836544852,0.8167268651820389,0.6816310187945485,0.9915535253269235,0.8701147864522706,0.05734652085708994,0.8386676198667705,0.8806566833558092,0.9119192574331195,0.073251637566349,0.7513232580026058,0.6084202949389123,0.9823102261991371,0.9778466927673604,0.012883929749672637,0.9746548526684524,0.9814547702452092,0.9850092726148775,0.010354419946425053,0.9457758087780754,0.9245827323305172,0.9940243148567895,0.28863383474139703,0.005239707166327338,0.28533896558829586,0.2887904389037709,0.2923964558005357,0.007057490212239836,0.2798063053781166,0.2761178652379971,0.2998145477024521,,,,,,,,,
