practice_code_standardised,kmeans_cluster,silhouette_value
A81001,1,0.052845884829437376
A81002,2,0.2694420229144385
A81004,3,0.0162503321483272
A81005,3,0.09108633211957795
A81006,2,0.08968546137636965
A81007,2,0.08233817347862799
A81009,3,0.2321007936470451
A81011,2,0.2203232512899995
A81012,2,0.09798048461511659
A81013,2,0.303188281596908
A81014,2,0.19144392387068732
A81016,2,0.10771948594495245
A81017,2,0.07043633723406277
A81018,3,0.08985721431979199
A81019,2,0.21200070765152873
A81020,2,0.08228172935331712
A81021,2,0.22293161495321717
A81022,3,0.098245916394393
A81023,1,0.005329496386577028
A81025,2,0.09468246881194427
A81026,2,0.0771453872215113
A81027,3,0.0631049187583538
A81029,1,0.045152213939072934
A81030,2,0.15721693931917444
A81031,2,0.20524782882448478
A81032,2,0.14110024578588767
A81034,3,0.14741541906993308
A81035,2,0.11558610516125599
A81036,3,0.08273004554007579
A81037,2,0.09069423489847685
A81038,3,0.2778690214050598
A81039,2,0.10520168444337151
A81040,2,0.1141475371699938
A81041,2,0.2688837075495055
A81042,1,-0.07614038579907316
A81044,3,0.28933434071096753
A81045,2,0.12110840373565687
A81046,2,0.09321930889926348
A81048,3,0.02415177684896418
A81049,2,0.06930119649827184
A81051,2,0.13026747672259933
A81052,2,0.10772457062628114
A81053,2,0.19046932122339688
A81054,2,0.08608352524444438
A81056,2,0.08572797287081504
A81057,2,0.10144331617290486
A81058,3,0.2751343311013087
A81060,3,0.2611296575306929
A81063,2,0.12292552877821104
A81064,3,0.21800853327314904
A81066,2,0.31985275250323786
A81067,2,0.12932370605501906
A81070,2,0.1328979013800371
A81602,1,-0.013545613810709832
A81608,1,-0.030299778382601734
A81610,2,0.16010722199314786
A81611,3,0.27555648364427615
A81612,2,0.30832294948754
A81618,2,0.14053646178510143
A81621,2,0.09766229481161387
A81622,2,0.28495552438424165
A81629,1,-0.020398217991094023
A81631,2,0.19483556528519064
A82003,2,0.1305301372044897
A82004,2,0.1114245136646754
A82005,2,0.3102239838192349
A82006,3,0.28231998051908763
A82007,2,0.2069761595191445
A82008,2,0.11354892514164217
A82009,3,0.23566456575085606
A82010,1,-0.03525602135685657
A82012,3,0.13003411439247414
A82013,3,0.13176652439391756
A82014,3,0.05186504833974952
A82015,2,0.1430481805214834
A82016,3,0.007194228002922435
A82018,3,0.27367369068284125
A82020,1,0.04994692119325068
A82021,2,0.08101587401271149
A82022,2,0.03426013615808239
A82023,3,0.3180118020914095
A82024,2,0.16251678978732537
A82025,2,0.2745008091045444
A82026,2,0.23497921550468065
A82027,2,0.01163376127041914
A82028,3,0.08727900880846502
A82029,2,0.291722444590688
A82030,2,0.1677469436927332
A82031,2,0.1791610318258169
A82032,3,0.2780908630924945
A82033,2,0.21936657170251042
A82035,2,0.034800232126723514
A82036,3,0.2596786781684924
A82037,2,0.17038433978157178
A82038,3,0.29846524627643267
A82039,2,0.2645225096558851
A82041,3,0.16426116689382586
A82044,3,0.02775734976589934
A82045,3,0.15266322162044182
A82046,1,-0.05757704426406488
A82047,3,0.15098992037499684
A82053,2,0.012120450328339449
A82055,3,0.16182924069396967
A82062,2,0.1536526110527373
A82064,2,0.16610339943059946
A82068,2,0.21222081884526006
A82070,2,0.30971145741710576
A82071,2,0.17299979708970092
A82072,1,-0.024864951989506546
A82075,2,0.22116761682437647
A82608,2,0.25631719307470285
A82613,1,-0.010081076616834236
A82617,3,0.21152990653144962
A82620,1,-0.0340715336846114
A82629,1,0.055629745556259526
A82631,3,0.2767445775497457
A82646,2,0.17895775514326176
A82647,2,0.06257990694670654
A82650,2,0.1752548341587982
A82651,2,0.2838133769248889
A82654,2,0.10418465700931467
A83001,3,0.11549266895542978
A83003,2,0.2850028459961716
A83005,3,0.19619184701948164
A83006,3,0.17913835213172252
A83007,2,0.2876279811737488
A83008,2,0.0161459905699944
A83009,3,0.07772484076186452
A83010,2,0.25064594312543637
A83011,1,0.016817849676376367
A83012,3,0.03336019630966243
A83013,2,0.23394309439559163
A83014,2,0.19867700178034295
A83015,2,0.2790530991029401
A83016,2,0.04680559278660216
A83018,2,0.0057665990018805026
A83020,2,0.17033283579237773
A83021,2,0.15714222092678892
A83022,2,0.05645533193438809
A83023,3,0.019476032499423517
A83024,2,0.21206141389243519
A83025,2,0.14455842714736122
A83026,2,0.12963960025342533
A83027,2,0.04298124153225523
A83028,2,0.18318931508122402
A83029,2,0.143111962054567
A83030,3,0.12872785156782118
A83031,2,0.19873040398381028
A83032,2,0.03615140069792932
A83033,3,0.09556468861525191
A83034,2,0.15715017210903134
A83035,3,0.19474137804024488
A83036,2,0.022563137749811044
A83037,3,0.21745142113465646
A83038,2,0.08816070604673125
A83040,2,0.1710180234145577
A83041,2,0.1355741261233345
A83043,2,0.2199872469055457
A83044,2,0.09529351741040527
A83045,3,0.10545535231544821
A83046,2,0.29805601620894073
A83047,2,0.176301244690925
A83048,3,0.05630140346823522
A83049,2,0.2088598961873906
A83050,2,0.19774613911748132
A83051,1,-0.03648813037310518
A83052,2,0.12572284722842503
A83054,3,0.16510347761255298
A83055,2,0.005499764444228257
A83057,2,0.005437116036310008
A83060,2,0.13075431684631722
A83061,1,-0.05460054616495848
A83066,2,0.24280263978790248
A83070,2,0.3106892854229301
A83071,2,0.2613018910097384
A83072,1,-0.0561112459346326
A83073,2,0.2561029131601712
A83074,2,0.07574899368167609
A83075,2,0.13885467192788206
A83610,2,0.21289443266395033
A83616,2,0.278790587013756
A83617,2,0.07750102154271456
A83618,3,0.18625862203447507
A83619,1,-0.04212626011372448
A83622,2,0.09696522012544621
A83626,2,0.16457372601378245
A83627,3,0.11145111246034614
A83634,2,0.07816351899701073
A83635,2,0.22296565732853554
A83636,3,0.2710727798801665
A83637,2,0.1558021279797646
A83641,3,0.022429957513560236
A83644,1,0.03171164753356164
A84002,2,0.05682905919533866
A84005,3,0.2558522382719304
A84006,3,0.07228213585329114
A84007,3,0.24153772243917296
A84008,3,0.07945876574448922
A84009,3,0.05720386459926606
A84011,2,0.2768775586911085
A84013,2,0.2162114281964706
A84014,2,0.3107693669512564
A84016,2,0.14368117832115868
A84018,2,0.04211102298799505
A84020,2,0.08038524987267329
A84022,3,0.25106171170749886
A84024,2,0.09831745621507137
A84025,2,0.1537651682377303
A84026,3,0.1546217882459938
A84027,2,0.030047368467513047
A84028,2,0.18450057887941892
A84029,3,0.15927137217351683
A84030,2,0.0944636447012175
A84031,3,0.19243843230639757
A84033,2,0.29681935700470463
A84034,2,0.24514642375724938
A84035,2,0.31257975514595476
A84036,3,0.23694108375971337
A84037,2,0.21163960371811164
A84038,3,0.10069901732173814
A84039,2,0.2614028262987334
A84040,2,0.08399529373968491
A84042,2,0.09278551470331439
A84044,3,0.145390051209042
A84045,3,0.026304356884707916
A84047,2,0.2615117312977202
A84604,2,0.023838080346477004
A84619,2,0.070757616238754
A85001,1,-0.08353832590386806
A85002,2,0.24149805979817068
A85004,3,0.07667439802019961
A85005,2,0.025537817178949793
A85006,3,0.26072261544588893
A85007,2,0.18937551811571862
A85008,3,0.10847975156159723
A85009,2,0.12591640915130645
A85010,2,0.21770435483495632
A85011,2,0.00874232002047252
A85013,2,0.1690808990835323
A85016,2,0.12846544362464818
A85017,2,0.18662280947624466
A85018,2,0.05410598501593848
A85019,2,0.06487491292340467
A85020,2,0.15880602306081676
A85021,2,0.12931271639719571
A85024,1,0.05248247457145065
A85026,3,0.116992625320586
A85611,2,0.025472135457456607
A85614,2,0.2547539463050453
A85616,2,0.17382352160704126
A85617,2,0.07471677373055942
A86003,1,0.00572186180340206
A86004,2,0.07647418431534432
A86005,2,0.07797797131315838
A86006,2,0.2775111804513498
A86008,2,0.21157951469944586
A86010,3,0.26191519402809
A86011,3,0.1638598262980143
A86012,2,0.06114359481644317
A86013,3,0.10160413245346728
A86016,3,0.20714537464515412
A86017,2,0.08723775087022058
A86018,3,0.30275531644229436
A86020,1,-0.0030870175686884254
A86021,3,0.09112909284143192
A86022,3,0.17469134986559975
A86023,3,0.25837733046893135
A86024,2,0.0013459296059315318
A86025,3,0.1054770742331863
A86026,3,0.14147420490028673
A86027,1,0.07962977544383881
A86028,2,0.05927104464911205
A86029,3,0.2438076758532998
A86030,2,0.21618625426570381
A86031,2,0.061661755744431584
A86033,3,0.0646573285538801
A86037,2,0.20146509854811553
A86038,2,0.07757886534496419
A86040,3,0.32059375812056795
A86041,2,0.19825209626728657
A86601,2,0.07898700819112729
A87002,2,0.11041405026780444
A87004,2,0.29441818435066847
A87005,2,0.30928121609158565
A87007,2,0.023699657726301025
A87008,3,0.024901897863363918
A87009,2,0.18455663111674406
A87011,3,0.05096783101929817
A87012,2,0.23132915071769233
A87013,2,0.15235920571889885
A87016,2,0.17572290463091997
A87017,2,0.18941007462852044
A87020,2,0.10412828479615743
A87022,3,0.11566332672675438
A87029,2,0.03177883567885651
A87030,2,0.09369212915366408
A87612,3,0.25015045218033494
A87615,2,0.047369460556299564
A88001,3,0.09279793642169752
A88002,1,-0.002378665841022015
A88003,1,-0.05225359102470944
A88004,2,0.15636539554963352
A88005,3,0.17475085602323215
A88006,2,0.1358130083092378
A88008,2,0.15788965800225993
A88009,1,0.08142944382431255
A88010,2,0.034148103455693316
A88012,3,0.0913418296281371
A88013,3,0.06538828986508499
A88014,1,0.05809798688407736
A88015,2,0.1671918355386974
A88016,2,0.11178613393388503
A88022,2,0.10513506736705697
A88023,2,0.26450382354477636
A88025,1,0.07599226992445704
A88601,1,-0.0683101355669892
A88608,2,0.12522434004362973
A88613,1,0.13679209140282636
A89001,2,0.11253444919559691
A89002,2,0.147476147928914
A89004,3,0.2220146710997946
A89005,1,0.11420124299747277
A89006,2,0.08888526016804504
A89007,1,0.13929031025872546
A89008,3,0.1354866304588621
A89009,1,-0.030522067590190775
A89010,2,0.12643185111140898
A89011,1,0.017050211329647617
A89012,1,-0.062252201805523405
A89013,2,0.07669851236625061
A89015,2,0.03423912228486406
A89016,3,0.13454828190307663
A89017,2,0.07023844289642973
A89018,1,-0.024352943967056093
A89019,3,0.2494262734215642
A89020,3,0.3213560787950627
A89021,2,0.14556696226375174
A89022,2,0.21918701562581802
A89023,2,0.049335380951787466
A89024,2,0.24753748515340437
A89025,2,0.16600723673941847
A89026,2,0.256005201425557
A89027,3,0.043383352576266375
A89028,2,0.23673160348084402
A89030,2,0.058995633744221544
A89031,2,0.13805325261563137
A89034,2,0.21061675383260692
A89035,2,0.12768535225457853
A89036,1,-0.0027521564781198284
A89040,1,0.1327694557005042
A89041,2,0.1097187340320168
A89616,2,0.10030962934899039
A89617,2,0.16608168842833484
A89623,1,0.04481155053582972
B81003,3,0.30155798470975387
B81004,2,0.007934206338826407
B81005,3,0.20324679339624876
B81006,3,0.024288100383927688
B81007,2,0.09920352777622987
B81008,3,0.27936917304192077
B81009,2,0.17230795425212606
B81011,2,0.21963536123213048
B81012,1,-0.02623504513567601
B81013,3,0.037321673839044806
B81015,3,0.18880232060068344
B81016,3,0.18275658239098302
B81017,1,-0.026276505778013978
B81018,3,0.11984403941285632
B81020,2,0.07501774076238962
B81022,3,0.1039554595839207
B81024,2,0.14353787391819894
B81025,3,0.06185103522608639
B81026,3,0.05008988872696897
B81027,1,0.004072712761700972
B81029,2,0.21065707731451858
B81030,2,0.2044222211121314
B81031,2,0.05800996718744236
B81032,2,0.12644161280956653
B81034,3,0.016906745601498834
B81035,2,0.3151462965206859
B81036,3,0.24220717722662172
B81037,2,0.12532438489167125
B81038,3,0.011398468221627451
B81039,1,-0.015336878095270465
B81040,2,0.23762772024872925
B81041,3,0.286313279566359
B81042,3,0.03891987348488288
B81043,2,0.1799112365852067
B81045,3,0.046329227080489144
B81046,2,0.017591412986228086
B81047,2,0.19938531702935547
B81048,1,0.0033432055111124025
B81051,2,0.20188463439071086
B81054,2,0.1506606329111347
B81061,2,0.011040343166566418
B81063,2,0.13302943869897013
B81064,3,0.0733314248078689
B81068,2,0.026811421478232747
B81069,3,0.17309305679353956
B81074,2,0.1430231366296416
B81075,3,0.14210067334551307
B81082,2,0.27880099795220714
B81085,2,0.07889775041393356
B81087,2,0.16911329909020945
B81088,3,0.1535316930880363
B81090,2,0.1217821232411391
B81091,3,0.12276160176265839
B81092,2,-0.006108717868893603
B81097,1,0.05426174191275662
B81099,3,0.09406778242303834
B81100,2,0.1570169718205322
B81101,2,0.10249133309429795
B81104,2,0.10110153733310365
B81108,1,-0.028412334591576913
B81109,3,0.20461246400503927
B81112,3,0.07664501015016156
B81113,3,0.12408195665144893
B81118,2,0.23599549682513657
B81119,2,0.07098306291740407
B81606,3,0.11240821387553512
B81616,1,-0.05499906867037034
B81617,2,0.0826697194578645
B81619,1,-0.010058446788721639
B81628,1,0.09007162776282773
B81631,2,0.28374422848812425
B81635,2,0.2501987088406114
B81642,3,0.13267313458399266
B81647,2,0.1043912721539682
B81648,2,0.02079875510906976
B81653,2,0.15105285000060198
B81655,1,-0.0428571241855851
B81656,1,-0.03655704265558053
B81663,1,0.012824465109174274
B81665,3,0.07830601959720682
B81666,1,0.05403612837849633
B81697,1,-0.04358568735868487
B82002,3,0.22509794690177717
B82004,3,0.18341701101121738
B82005,1,-0.03670718174956121
B82007,3,0.05234909306556728
B82008,3,0.1118652991363627
B82010,3,0.10289848760001834
B82011,2,0.09718929987141971
B82012,2,0.17464471233333398
B82013,1,0.014258573361600633
B82014,3,0.032469776423186075
B82016,3,0.2866953645671364
B82017,2,0.28726669491774276
B82018,2,0.29516279493135533
B82019,2,0.22336594770347623
B82021,2,0.25564523186942345
B82022,3,0.003641057660792668
B82023,2,0.05717339339192761
B82024,1,-0.027010976845978772
B82025,2,0.3010483697561353
B82026,2,0.08633754025488474
B82027,3,0.24591379349485462
B82029,2,0.048863730520387075
B82030,2,0.2439411269689137
B82031,3,0.1846050124813203
B82032,3,0.24970611405866092
B82033,2,0.20880388194181246
B82034,2,0.11956146120618005
B82035,2,0.059048940716758
B82036,2,-0.00023987154199922158
B82037,3,0.010342697677597601
B82038,2,0.21914149626369084
B82041,2,0.04919552300505775
B82042,2,0.05120166470554733
B82044,2,0.0471506366290555
B82045,3,0.06252144250487852
B82046,2,0.16051650454297595
B82047,2,0.0877093038517325
B82049,3,0.19760051405079054
B82050,2,0.24274156753842493
B82053,2,0.10890119144618342
B82054,2,0.126251619134687
B82057,3,0.058134604900936464
B82059,3,0.2296702560408807
B82060,3,0.2512677594540108
B82061,2,0.1062309302818726
B82063,2,0.2997283986344724
B82064,2,0.07501507761124816
B82066,2,0.1792209523683449
B82067,2,0.05608067549767308
B82068,2,0.1308375481979986
B82069,3,0.18922731785155125
B82071,2,0.26795113966758644
B82072,2,0.09926500468947638
B82073,2,0.2651766933913515
B82074,2,0.22995737467155714
B82075,2,0.18594394729711636
B82077,3,0.06938697493950678
B82078,2,0.0644701976215026
B82079,2,0.055857491989303704
B82080,3,0.2852119725620334
B82081,3,0.2974149695290364
B82083,3,0.1685803483331169
B82086,1,-0.0420281023665678
B82088,2,0.12215264611412183
B82097,2,0.14785347679512292
B82098,2,0.12366069490968763
B82100,3,0.18719218533326387
B82101,3,0.2633481244866509
B82104,3,0.19696564287101245
B82105,3,0.03288985047698185
B82106,2,0.24192785181937237
B82609,2,0.25801042662613105
B82619,1,-0.0030431535116430663
B82622,1,-0.003835843502016348
B82628,2,0.29464197634487055
B83002,2,0.155236974025559
B83005,3,-0.0003797180387470232
B83008,1,0.036891318156480536
B83009,1,-0.033660746370686306
B83010,3,0.07666930656287477
B83012,3,0.0897372849951137
B83014,2,0.027176380292108202
B83015,2,0.005719207989200931
B83016,2,0.16255119709160706
B83018,3,0.17969551174757203
B83019,3,0.06346280385717457
B83020,3,0.164764877724629
B83022,2,0.22876314893547356
B83025,2,0.08415790139342431
B83026,3,-0.0019411469786299246
B83028,2,0.02086580714108185
B83029,2,0.22247684747983787
B83031,3,0.06307505244279143
B83032,3,0.12673070661411057
B83033,3,0.17950531767814168
B83034,3,0.1750082310721157
B83035,2,0.06834781599235858
B83037,3,0.11641345888958304
B83038,3,0.28001197202356504
B83039,3,0.0989516361675018
B83041,1,-0.027088914944025693
B83042,3,0.07808651749266304
B83045,3,0.11018914831836406
B83051,3,0.09093587143816449
B83052,2,0.0034330185926385137
B83054,3,0.2711086606575485
B83055,3,0.08563055529876269
B83056,2,0.05309001096167565
B83058,3,0.08605072760811634
B83062,2,0.07461689335870005
B83063,3,0.17089058737309468
B83064,3,0.3320218079498056
B83067,2,0.021645741528225543
B83604,1,-0.036024922746609844
B83611,3,0.03315885848840685
B83614,3,0.07548114584091586
B83620,1,-0.021803569360328973
B83622,3,0.03481013624223497
B83624,2,0.06637058352734747
B83626,3,0.089700307428401
B83627,2,0.07822820746878867
B83628,3,0.09949185629322793
B83629,1,-0.02413212308150462
B83641,2,0.06248298052681522
B83642,2,0.2089170684173273
B83653,3,0.10792709748781615
B83657,1,-0.0016558402148100554
B83659,3,0.024885973455156328
B83660,3,0.10182645167687286
B83661,3,0.07966527775876554
B84001,3,0.32670747010454415
B84003,2,0.20926283144797872
B84004,2,0.28998362528926963
B84006,2,0.2325874609427482
B84007,3,0.22604246071073786
B84008,3,0.2575058067295797
B84009,2,0.12311721131936623
B84010,3,0.28340503449629373
B84011,2,0.10696380895616285
B84012,2,0.045572317370768944
B84013,2,0.08514562184157376
B84014,2,0.26928308054704597
B84016,2,0.060958507005048936
B84019,2,0.11541803052700841
B84021,2,0.11589276135584152
B84612,3,0.09061020603254431
B84613,2,0.21478404354521555
B84618,3,0.1618148127958128
B84623,2,0.15030608062394854
B85001,2,0.10385291340901748
B85002,2,0.277230806459261
B85004,2,0.09303073121693656
B85005,3,0.05580651358268529
B85006,2,0.14883409477500734
B85008,2,0.09670181377865912
B85009,2,0.1808973828519362
B85010,1,0.010615991087017034
B85012,2,0.04255275432676112
B85014,3,0.06980756520781843
B85015,3,0.03701049000093038
B85016,2,0.195901709930834
B85018,2,0.09318002989237092
B85019,2,0.11744989737052054
B85020,2,0.1523214819243945
B85021,2,0.2056819945436237
B85022,2,0.21365548077056748
B85023,3,0.18901959643693333
B85024,2,0.0666423386381633
B85025,2,0.22481245939184286
B85026,3,0.10250048137707544
B85027,3,0.2731949582755445
B85028,1,0.004773686132637807
B85030,3,0.09947817316146199
B85031,2,0.25800761106375014
B85032,2,0.15129438460788305
B85033,3,0.17780866129544054
B85036,3,0.011208187822067582
B85037,2,0.2139133809619208
B85038,2,0.02202316473483597
B85041,1,0.0518670028164297
B85042,2,0.08091624869232672
B85044,1,0.0034301538484589195
B85048,1,0.09991700942258716
B85051,3,0.07504281496444884
B85054,3,0.026946212395842238
B85055,3,0.14195815643755905
B85058,1,-0.044246690237978614
B85059,3,0.15203373306723758
B85060,3,0.3063236597204866
B85061,2,0.26815144554552317
B85062,1,0.05789620109568048
B85606,3,0.03188147726083118
B85610,3,0.0654852046205244
B85611,1,0.17391270872326858
B85612,2,0.10285090807974019
B85614,1,0.0039086409541599035
B85619,1,0.0021883542906097372
B85620,1,-0.0228913955146181
B85623,3,0.11849786922662964
B85634,3,0.020427546137373513
B85636,2,0.0939111418493813
B85640,1,-0.04810388365710685
B85641,2,-0.0018016215033416056
B85645,1,0.08338025332489626
B85646,2,0.08619742872208683
B85650,2,0.20401552700457912
B85652,2,0.11291582392003632
B85655,2,0.054844463207880834
B85659,1,-0.00807606814506808
B85660,1,0.04839388514187172
B86002,2,0.0827909735465926
B86003,2,0.13685885313347304
B86004,2,0.1970705956493889
B86005,2,0.28670353452638575
B86006,3,0.11509170437679762
B86007,2,-0.010455017933039993
B86008,2,0.11904964853429911
B86009,2,0.10593630842353485
B86010,2,0.12278807690908883
B86011,2,0.19088494492344965
B86012,3,0.031872453479410395
B86013,1,-0.0461848803206254
B86014,2,0.19563931713297128
B86015,2,0.04713239209542355
B86016,3,0.2987269315298501
B86017,3,0.16505129265727966
B86018,2,0.09185449334738931
B86019,2,0.10889327415416888
B86020,2,0.24254545925316245
B86022,1,-0.06735461693926723
B86024,2,0.15517048899656438
B86025,2,0.12555048802939772
B86028,2,0.060612353892972974
B86029,2,0.029637547994074514
B86030,2,0.08226533627656928
B86032,3,0.1682969560413218
B86033,3,0.14464573795495114
B86034,2,0.22321694514893523
B86035,2,0.12433870046588431
B86036,3,0.0912024434105114
B86038,2,0.1331918969650702
B86039,3,0.29766208062897914
B86041,3,0.2964155843791936
B86042,2,0.1359221626332722
B86043,2,0.22361241587467262
B86044,3,0.20515985734927633
B86048,2,0.14856741860608605
B86049,2,0.15156714893245168
B86050,2,-0.00980529589418642
B86051,2,0.11776185975035192
B86052,2,0.23271732876313692
B86054,3,0.281299387863252
B86055,1,0.12891063351052479
B86057,2,0.043533149570116926
B86059,2,0.10644730249057159
B86060,3,0.10689196045086417
B86061,1,-0.019364106313801806
B86062,3,0.3146611730161362
B86064,2,0.26806545649410063
B86066,3,0.235418806321743
B86067,2,0.01962316227195576
B86068,3,0.1675309137677755
B86069,2,0.1484893308249563
B86070,2,0.00750040780554001
B86071,3,0.23335480297706385
B86075,3,0.264535620391451
B86081,2,0.08291056496556212
B86086,2,0.17453031126208687
B86089,1,0.015180340554019926
B86092,2,0.18988225188145702
B86093,3,0.18536856404439891
B86094,1,0.07143319693487908
B86096,2,0.1558042710410793
B86100,3,0.16544068121703012
B86101,2,0.2420399886552809
B86103,1,-0.08363960043342213
B86106,2,0.18834066230076882
B86108,2,0.2570503263459605
B86109,2,0.11249831394196722
B86110,1,0.09552359220027806
B86623,1,0.13018931290908003
B86642,2,0.16203433547258964
B86643,1,-0.007877937776878915
B86648,3,0.23323524216834063
B86655,2,0.15187764786998306
B86658,2,0.23959317614513698
B86666,3,0.06789571961361064
B86667,2,0.3045252792214847
B86669,1,0.01084413168065481
B86672,3,0.006785324183713281
B86673,2,0.19888539470969255
B86675,1,0.14735013194791105
B86678,2,0.07964021602061891
B87001,3,0.09431082576642541
B87002,3,0.08643490872209449
B87003,2,0.11969288639652877
B87004,3,0.009788159753444072
B87005,2,0.18216507261730272
B87006,2,0.20441306024951922
B87007,3,0.19138601280790693
B87008,2,0.10460499186499769
B87009,3,0.09657720279378812
B87011,3,0.12294066960015536
B87012,3,0.02624575573830277
B87013,2,0.1787103490722486
B87015,3,0.018119694801642404
B87016,2,0.15513353899036622
B87017,3,0.10315607607632717
B87018,3,0.030785242990457456
B87019,2,0.23719695130370025
B87020,2,0.04323600245405422
B87021,2,0.2178032234057187
B87022,2,0.11239737886048239
B87025,2,0.04250235497327551
B87026,2,0.23239327219447214
B87027,2,0.2429383919539099
B87028,2,0.11070345605822701
B87030,3,0.26877820879693926
B87031,2,0.1253038833683523
B87032,2,0.2131664504271777
B87033,2,0.32475635434360706
B87036,2,0.1121369878022003
B87039,3,0.06977899007938895
B87042,2,0.07578412639579417
B87044,1,-0.03261893440257108
B87602,2,0.023217257562996273
B87604,1,-0.045507738016605216
C81001,3,0.30967393073806565
C81002,3,0.1830765396223897
C81003,2,0.19885618620575488
C81004,3,0.03572930400965507
C81005,3,0.11558582002335668
C81006,1,-0.02320690351260358
C81007,2,0.15603885125232372
C81008,2,0.04807872031595649
C81009,1,-0.02079327511237309
C81010,1,0.046333228779814384
C81012,3,0.07045653000940598
C81013,2,0.017770492523050827
C81014,2,0.0831805785081161
C81015,2,0.25872829972641315
C81016,3,0.023410289069470305
C81017,2,0.18935370601518547
C81018,2,0.15750407739016795
C81020,2,0.10538747052026777
C81021,2,0.23975207131617884
C81022,2,0.1775675157137138
C81023,2,0.2812976656400656
C81025,2,0.06613330409685493
C81026,2,0.12715561229593078
C81027,2,0.15630534824709985
C81029,2,0.13882956449916212
C81030,3,0.10545280922027307
C81031,2,0.06804389258837822
C81032,3,0.027354934957212074
C81034,3,0.17612302756288215
C81035,2,0.14436734496678355
C81036,3,0.23283142330220352
C81037,2,0.26250018451736
C81038,2,0.13928365851106092
C81039,2,0.0866812598259398
C81040,2,0.11682481499007287
C81041,3,0.25602743773090275
C81042,3,0.03101971749415633
C81044,3,0.03459235631563645
C81045,2,0.16295344219674057
C81046,2,0.14520993941661464
C81047,3,0.06245129838348067
C81048,3,0.09647968162499411
C81049,3,0.11042297241538036
C81050,2,0.28426734031858025
C81051,3,0.18281100433354247
C81052,2,0.038884538671142325
C81053,2,0.10125000269716936
C81054,1,0.0346300482723431
C81055,2,0.08720650097039079
C81056,2,0.2463564229495605
C81057,2,0.19886441649923295
C81058,2,0.0898164162262397
C81059,2,0.11378027971664294
C81060,2,0.19818365290173862
C81061,2,0.07159082383537788
C81062,2,0.1486344847376133
C81063,3,0.0803326387770111
C81064,2,0.110390080022884
C81065,2,0.02277228931523268
C81066,3,0.08701803687648237
C81067,2,0.21008468853699303
C81068,3,0.06745910667706291
C81069,2,0.16873240114089672
C81070,3,0.12048073294189533
C81071,1,0.1019523400781455
C81072,3,0.32236274863548137
C81073,2,0.1814657740722345
C81075,2,0.2539928857287609
C81080,2,0.12352841682192674
