measure_id,field,approved_role,family,unit,national_profile_cluster,n,missing_n,median,q1,q3,iqr,mean,standard_deviation,minimum,maximum,original_units_retained
GPPS-M01,gpps_overall_practice_experience_good_pct,PRIMARY_OUTCOME,FAMILY-GPPS-PRIMARY,percentage points,1,1752,1,76.8877375,68.90899625,84.098895,15.189898749999998,75.88587813413243,11.190061360355912,29.689768,100.0,YES
GPPS-M01,gpps_overall_practice_experience_good_pct,PRIMARY_OUTCOME,FAMILY-GPPS-PRIMARY,percentage points,2,2312,0,81.609737,73.97918899999999,88.5801945,14.601005500000014,80.52962189532872,10.363598864465272,39.687142,100.0,YES
GPPS-M01,gpps_overall_practice_experience_good_pct,PRIMARY_OUTCOME,FAMILY-GPPS-PRIMARY,percentage points,3,2002,0,78.3606445,71.057093,85.0785405,14.021447500000008,77.26781599150848,10.590377714800088,38.003278,100.0,YES
GPPS-M02,gpps_contact_experience_good_pct,PRIMARY_OUTCOME,FAMILY-GPPS-PRIMARY,percentage points,1,1752,1,73.7408705,64.34528875,82.24239675,17.897108000000003,72.78391141609589,12.978184942021347,22.721053,100.0,YES
GPPS-M02,gpps_contact_experience_good_pct,PRIMARY_OUTCOME,FAMILY-GPPS-PRIMARY,percentage points,2,2312,0,78.16757100000001,69.03002675,86.00369425000001,16.973667500000005,76.84206523702422,12.115476792265392,21.670819,100.0,YES
GPPS-M02,gpps_contact_experience_good_pct,PRIMARY_OUTCOME,FAMILY-GPPS-PRIMARY,percentage points,3,2002,0,73.633517,65.5954595,81.49556075000001,15.900101250000006,72.91906037562437,11.860245764312166,31.586745,100.0,YES
GPPS-M03,gpps_preferred_professional_continuity_fulfilled_pct,PRIMARY_OUTCOME,FAMILY-GPPS-PRIMARY,percentage points,1,1748,5,42.2272385,31.454689249999998,54.929767999999996,23.475078749999998,43.570136737986275,17.766649263983,1.927871,100.0,YES
GPPS-M03,gpps_preferred_professional_continuity_fulfilled_pct,PRIMARY_OUTCOME,FAMILY-GPPS-PRIMARY,percentage points,2,2309,3,44.4481,31.744891,57.517956,25.773065,45.31762204547423,18.10414235775878,0.0,100.0,YES
GPPS-M03,gpps_preferred_professional_continuity_fulfilled_pct,PRIMARY_OUTCOME,FAMILY-GPPS-PRIMARY,percentage points,3,1997,5,37.362876,26.837499,48.997051,22.159551999999998,38.58350987881823,16.146682093256896,0.0,97.946833,YES
GPPS-M04,gpps_long_term_condition_support_good_pct,PRIMARY_OUTCOME,FAMILY-GPPS-PRIMARY,percentage points,1,1751,2,67.656223,59.248817,75.2853515,16.036534500000002,67.32791935579668,11.091473643736986,24.856639,97.256729,YES
GPPS-M04,gpps_long_term_condition_support_good_pct,PRIMARY_OUTCOME,FAMILY-GPPS-PRIMARY,percentage points,2,2312,0,73.5255665,66.27579275000001,80.02364125,13.74784849999999,72.77071131790657,10.129452974587059,34.042775,97.470164,YES
GPPS-M04,gpps_long_term_condition_support_good_pct,PRIMARY_OUTCOME,FAMILY-GPPS-PRIMARY,percentage points,3,2002,0,70.81071750000001,63.285111,77.65543825,14.370327250000003,70.27943873326674,10.155653707992954,34.92175,95.646503,YES
GPPS-M06,gpps_next_step_clarity_pct,PRIMARY_OUTCOME,FAMILY-GPPS-PRIMARY,percentage points,1,1752,1,83.3356095,77.19453974999999,88.60640525,11.411865500000005,82.43628512157534,8.607475713947737,45.071702,100.0,YES
GPPS-M06,gpps_next_step_clarity_pct,PRIMARY_OUTCOME,FAMILY-GPPS-PRIMARY,percentage points,2,2312,0,87.0623095,81.25098600000001,91.8616945,10.610708499999987,85.9375323486159,7.928609810861353,50.907694,100.0,YES
GPPS-M06,gpps_next_step_clarity_pct,PRIMARY_OUTCOME,FAMILY-GPPS-PRIMARY,percentage points,3,2002,0,85.58156149999999,79.79183900000001,89.9272065,10.135367499999987,84.54751675074927,7.671182168060704,48.64293,100.0,YES
POP-001,registered_list_size_20260301,PRIMARY_CONTEXT,FAMILY-CONTEXT-PRIMARY,registered patients,1,1753,0,7447.0,4804.0,11688.0,6884.0,9484.56588705077,7815.62225582833,208.0,114460.0,YES
POP-001,registered_list_size_20260301,PRIMARY_CONTEXT,FAMILY-CONTEXT-PRIMARY,registered patients,2,2312,0,8769.0,6151.5,12584.5,6433.0,10103.003892733564,5796.4965411015055,499.0,49821.0,YES
POP-001,registered_list_size_20260301,PRIMARY_CONTEXT,FAMILY-CONTEXT-PRIMARY,registered patients,3,2002,0,10027.5,7001.5,13692.25,6690.75,11553.103396603397,7697.332671105856,455.0,93964.0,YES
POP-003,registered_population_age_65_plus_pct,PRIMARY_CONTEXT,FAMILY-CONTEXT-PRIMARY,percentage points,1,1753,0,13.1453679971,9.3915118459,17.6222222222,8.230710376300001,13.752461844590703,6.008744320222439,0.0,42.2813036021,YES
POP-003,registered_population_age_65_plus_pct,PRIMARY_CONTEXT,FAMILY-CONTEXT-PRIMARY,percentage points,2,2312,0,21.23236570265,16.6147763368,25.525609824425,8.910833487625002,21.270217634681575,6.758827584451953,0.7901343967,52.6767151767,YES
POP-003,registered_population_age_65_plus_pct,PRIMARY_CONTEXT,FAMILY-CONTEXT-PRIMARY,percentage points,3,2002,0,19.54924039065,14.907078633975,24.49318648105,9.586107847074999,19.791154701302446,7.4986588343626455,0.6037496028,94.5890410959,YES
WF-007,fully_qualified_gp_fte_per_10000,PRIMARY_CONTEXT,FAMILY-CONTEXT-PRIMARY,"FTE per 10,000",1,1673,80,3.9485525425,2.9775784753,5.1380860629,2.1605075876,4.151785339358995,1.8797726038910265,0.1613637304,24.7682610311,YES
WF-007,fully_qualified_gp_fte_per_10000,PRIMARY_CONTEXT,FAMILY-CONTEXT-PRIMARY,"FTE per 10,000",2,2210,102,4.7099511981,3.671494616375,5.64053741725,1.969042800875,4.800233880138325,2.065488174105262,0.2437983787,40.876341715,YES
WF-007,fully_qualified_gp_fte_per_10000,PRIMARY_CONTEXT,FAMILY-CONTEXT-PRIMARY,"FTE per 10,000",3,1918,84,4.7021460755,3.7549036421,5.74852841325,1.99362477115,4.8408815020347244,1.9859974360179131,0.0949059245,37.3626373626,YES
GEO-M01,patient_weighted_average_imd2025_score,PRIMARY_CONTEXT,FAMILY-CONTEXT-PRIMARY,IMD 2025 score,1,1742,11,26.7168695752,19.08537290115,34.755913811675,15.670540910525002,27.66869096940155,11.871734127995628,4.4313082671,63.5008178699,YES
GEO-M01,patient_weighted_average_imd2025_score,PRIMARY_CONTEXT,FAMILY-CONTEXT-PRIMARY,IMD 2025 score,2,2298,14,18.77717180645,13.240921192925,27.487204503050002,14.246283310125001,21.387357566350524,10.663976049904841,4.0253720415,65.223072345,YES
GEO-M01,patient_weighted_average_imd2025_score,PRIMARY_CONTEXT,FAMILY-CONTEXT-PRIMARY,IMD 2025 score,3,1995,7,19.6253972376,13.4785920333,28.597518167,15.1189261337,22.23874165507649,11.33196742708871,3.8584134373,59.372159442,YES
GEO-M02,registered_patients_imd_deciles_1_2_pct,PRIMARY_CONTEXT,FAMILY-CONTEXT-PRIMARY,percentage points,1,1742,11,24.554380944149997,5.451004446425,53.4736729686,48.022668522174996,32.006996276191565,28.655100722401663,0.0,98.5850150777,YES
GEO-M02,registered_patients_imd_deciles_1_2_pct,PRIMARY_CONTEXT,FAMILY-CONTEXT-PRIMARY,percentage points,2,2298,14,7.528057684749999,0.206627522225,31.5088770718,31.302249549575002,19.0662312406044,24.161539161449728,0.0,96.9063816003,YES
GEO-M02,registered_patients_imd_deciles_1_2_pct,PRIMARY_CONTEXT,FAMILY-CONTEXT-PRIMARY,percentage points,3,1995,7,9.2030848329,0.4807335481,33.46779635065,32.98706280255,20.952061152271977,25.613609615353322,0.0,97.8497974447,YES
GEO-M04,registered_patients_rural_pct,PRIMARY_CONTEXT,FAMILY-CONTEXT-PRIMARY,percentage points,1,1742,11,0.14212065365,0.0555927387,0.929713528675,0.874120789975,4.560173644150459,16.609060851649893,0.0,100.0,YES
GEO-M04,registered_patients_rural_pct,PRIMARY_CONTEXT,FAMILY-CONTEXT-PRIMARY,percentage points,2,2311,1,4.1684603243,0.23270009665,38.0832530379,37.85055294125,26.032699967906144,37.18554225923433,0.0,99.9758919961,YES
GEO-M04,registered_patients_rural_pct,PRIMARY_CONTEXT,FAMILY-CONTEXT-PRIMARY,percentage points,3,1998,4,1.41249248015,0.11280387395000001,17.55811467585,17.4453108019,18.778977504276575,32.52495997259433,0.0,99.9808355692,YES
POP-002,registered_population_age_0_19_pct,SECONDARY_CONTEXT,FAMILY-CONTEXT-SECONDARY,percentage points,1,1753,0,22.6818058935,19.8666090286,25.4131787937,5.546569765099999,22.547091255467027,5.040404630686948,0.0,55.1769646071,YES
POP-002,registered_population_age_0_19_pct,SECONDARY_CONTEXT,FAMILY-CONTEXT-SECONDARY,percentage points,2,2312,0,21.189000681099998,19.229167249475,23.2663483199,4.0371810704249995,21.349956131846714,3.5618053974392674,0.2004008016,40.5969117308,YES
POP-002,registered_population_age_0_19_pct,SECONDARY_CONTEXT,FAMILY-CONTEXT-SECONDARY,percentage points,3,2002,0,21.547406571899998,19.373038719225,23.842585930225,4.469547210999998,21.736094726599102,3.9908829291689463,0.0,54.1612057667,YES
WF-011,nurse_fte_per_10000,SECONDARY_CONTEXT,FAMILY-CONTEXT-SECONDARY,"FTE per 10,000",1,1559,194,1.7312726966,1.1024084811,2.6216995034500004,1.5192910223500005,2.088217065971071,1.7859727399052303,0.0899723054,35.0660066006,YES
WF-011,nurse_fte_per_10000,SECONDARY_CONTEXT,FAMILY-CONTEXT-SECONDARY,"FTE per 10,000",2,2174,138,2.5280983525,1.7204301075,3.501029155175,1.780599047675,2.7957175986752065,1.9458689967301026,0.026634705,56.1122244489,YES
WF-011,nurse_fte_per_10000,SECONDARY_CONTEXT,FAMILY-CONTEXT-SECONDARY,"FTE per 10,000",3,1882,120,2.4546434862,1.6144647188749999,3.58340607915,1.968941360275,2.749060467223857,1.8941482997747552,0.1645963531,47.5497331397,YES
WF-012,direct_patient_care_fte_per_10000,SECONDARY_CONTEXT,FAMILY-CONTEXT-SECONDARY,"FTE per 10,000",1,1405,348,2.0176003435,1.1408569392,3.2272994163,2.0864424771000003,2.4829469494108185,2.2761485063068605,0.0424560845,41.150990099,YES
WF-012,direct_patient_care_fte_per_10000,SECONDARY_CONTEXT,FAMILY-CONTEXT-SECONDARY,"FTE per 10,000",2,2066,246,2.37587173195,1.3752936280999999,3.9665214765,2.5912278484,3.1390867906636983,2.652677664947833,0.1032524522,28.0561122244,YES
WF-012,direct_patient_care_fte_per_10000,SECONDARY_CONTEXT,FAMILY-CONTEXT-SECONDARY,"FTE per 10,000",3,1794,208,2.4571132407,1.418173143075,4.08142015185,2.6632470087749995,3.1290412600160535,2.5091266848245306,0.040602267,22.2285768753,YES
WF-013,admin_nonclinical_fte_per_10000,SECONDARY_CONTEXT,FAMILY-CONTEXT-SECONDARY,"FTE per 10,000",1,1669,84,10.4217432054,8.1515616998,12.8630172194,4.711455519599999,10.907386027785263,4.7054836438808305,0.741879591,77.8642936596,YES
WF-013,admin_nonclinical_fte_per_10000,SECONDARY_CONTEXT,FAMILY-CONTEXT-SECONDARY,"FTE per 10,000",2,2180,132,12.283846312649999,10.076244765075,14.63161298785,4.555368222775,12.658053806588669,4.479207883889999,0.7670795046,80.1603206413,YES
WF-013,admin_nonclinical_fte_per_10000,SECONDARY_CONTEXT,FAMILY-CONTEXT-SECONDARY,"FTE per 10,000",3,1862,140,12.0256538941,9.8577529627,14.396929090675,4.539176127975001,12.413572094370837,4.423409626766617,0.7491593241,98.981077147,YES
