practice_code_standardised,profile
A81004,1
A81012,2
A81019,2
A81041,2
A81058,1
A81612,2
A81618,2
A82009,1
A82010,2
A82014,2
A82021,2
A82035,2
A82053,2
A82062,2
A82071,2
A82072,2
A83003,2
A83007,2
A83015,2
A83016,2
A83018,1
A83021,2
A83023,1
A83025,2
A83031,2
A83033,2
A83040,2
A83041,2
A83044,2
A83045,1
A83046,2
A83047,1
A83049,2
A83054,1
A83070,2
A83071,2
A83075,2
A83618,1
A83626,2
A83627,2
A83636,1
A84009,2
A84014,2
A84016,2
A84031,1
A84034,2
A85002,2
A85004,1
A85006,1
A85007,2
A85009,2
A85011,2
A85016,2
A85019,2
A85024,2
A85611,2
A85614,2
A85616,2
A86008,2
A86012,3
A86013,2
A86017,2
A86018,1
A86021,1
A86022,1
A86025,1
A86026,1
A86040,1
A87004,2
A87008,1
A87009,2
A87011,1
A87012,2
A87013,2
A87029,2
A87030,2
A87615,2
A88001,1
A88006,2
A88012,1
A88013,2
A88016,3
A88022,1
A88025,2
A88613,3
A89001,3
A89002,2
A89004,1
A89005,2
A89006,2
A89007,2
A89008,1
A89009,2
A89010,1
A89012,2
A89013,2
A89015,2
A89016,1
A89019,1
A89020,1
A89021,2
A89022,2
A89023,2
A89026,2
A89028,2
A89030,2
A89031,2
A89034,2
A89035,2
A89036,2
A89040,3
A89041,2
A89616,2
A89617,2
B81005,1
B81013,2
B81020,2
B81022,1
B81025,1
B81029,2
B81034,2
B81036,1
B81037,1
B81041,1
B81043,2
B81046,2
B81063,2
B81064,2
B81082,2
B81088,1
B81092,1
B81100,2
B81616,2
B81619,3
B81656,2
B81663,2
B82002,1
B82005,3
B82007,1
B82008,1
B82010,1
B82011,2
B82012,2
B82013,3
B82014,1
B82017,2
B82018,2
B82019,2
B82021,2
B82024,2
B82025,2
B82030,2
B82031,1
B82033,2
B82036,2
B82037,1
B82041,1
B82042,2
B82045,1
B82047,3
B82049,1
B82053,3
B82054,2
B82059,1
B82064,1
B82071,2
B82074,2
B82075,2
B82077,1
B82079,2
B82080,1
B82083,1
B82088,2
B82097,2
B82098,2
B82100,1
B82105,1
B82106,2
B82609,2
B82628,2
B83002,2
B83005,2
B83015,2
B83018,1
B83019,1
B83022,2
B83031,1
B83034,2
B83035,2
B83038,1
B83041,1
B83042,1
B83058,2
B83067,2
B83614,2
B83620,2
B83624,1
B83660,2
B84003,2
B84006,2
B84008,1
B84013,2
B84623,2
B85002,2
B85006,2
B85015,2
B85016,2
B85019,2
B85022,2
B85031,2
B85033,1
B85038,2
B85041,2
B85042,2
B85048,2
B85054,1
B85606,2
B85611,3
B85612,2
B85614,3
B85619,2
B85620,2
B85623,1
B85634,1
B85645,2
B85646,2
B86004,2
B86005,2
B86006,1
B86012,1
B86013,3
B86018,1
B86020,2
B86025,2
B86030,1
B86035,2
B86038,2
B86041,1
B86043,2
B86052,2
B86060,1
B86066,1
B86068,1
B86096,2
B86109,3
B86658,2
B86667,2
B87002,1
B87003,2
B87006,2
B87018,2
B87031,2
B87044,2
C81003,2
C81013,2
C81016,1
C81022,2
C81031,2
C81034,2
C81046,2
C81050,2
C81055,2
C81056,2
C81059,2
C81063,1
C81080,3
C81081,1
C81092,2
C81099,2
C81101,2
C81106,1
C81615,2
C81634,2
C81638,2
C81647,2
C82002,1
C82007,3
C82012,1
C82013,2
C82016,1
C82017,1
C82018,2
C82024,1
C82025,2
C82026,2
C82027,2
C82028,2
C82031,1
C82037,2
C82038,1
C82039,1
C82040,2
C82042,2
C82044,1
C82045,2
C82051,2
C82053,2
C82054,1
C82055,2
C82056,2
C82061,2
C82063,3
C82064,1
C82068,2
C82070,2
C82071,2
C82072,2
C82075,2
C82078,2
C82079,1
C82080,2
C82082,2
C82094,2
C82098,2
C82099,2
C82111,3
C82116,2
C82124,1
C82610,3
C82611,2
C82620,2
C82628,2
C82631,3
C82634,1
C82642,2
C82643,2
C82650,2
C82651,3
C82656,2
C82660,1
C82662,2
C82667,3
C82676,1
C83001,1
C83002,2
C83003,1
C83013,1
C83020,2
C83022,2
C83028,1
C83029,2
C83031,1
C83039,1
C83043,1
C83051,2
C83052,1
C83060,3
C83061,2
C83062,1
C83067,1
C83072,1
C83073,1
C83075,1
C83078,1
C83079,1
C83080,1
C83635,1
C83649,1
C83650,2
C84005,1
C84009,2
C84010,2
C84011,2
C84012,2
C84014,2
C84017,2
C84018,2
C84020,2
C84021,1
C84023,3
C84025,2
C84026,1
C84028,1
C84029,1
C84030,1
C84032,1
C84033,2
C84034,2
C84035,2
C84037,1
C84039,1
C84043,2
C84044,2
C84045,2
C84047,1
C84049,1
C84051,1
C84055,1
C84057,2
C84059,2
C84061,2
C84063,1
C84064,2
C84065,2
C84066,2
C84067,2
C84072,1
C84077,1
C84078,1
C84080,2
C84084,2
C84085,3
C84086,1
C84087,2
C84090,1
C84095,2
C84101,2
C84105,3
C84112,2
C84113,2
C84115,2
C84116,2
C84117,3
C84122,2
C84123,2
C84129,2
C84131,1
C84142,2
C84150,2
C84151,2
C84613,1
C84619,2
C84621,2
C84624,2
C84628,3
C84637,2
C84646,1
C84654,2
C84656,2
C84658,2
C84660,2
C84664,2
C84667,1
C84682,2
C84692,2
C84693,3
C84696,2
C84703,2
C84714,3
C85003,1
C85007,2
C85009,2
C85017,2
C85028,3
C85030,1
C85033,1
C86001,1
C86006,2
C86012,2
C86025,2
C86609,2
C86611,2
C86621,2
C87009,1
C87014,1
C87616,1
C88007,1
C88019,2
C88020,2
C88022,2
C88036,1
C88046,1
C88652,1
C88655,1
D81001,3
D81004,2
D81010,3
D81013,3
D81025,3
D81026,2
D81027,2
D81029,1
D81033,2
D81035,1
D81037,3
D81038,2
D81042,2
D81045,1
D81047,1
D81050,2
D81070,3
D81081,2
D81607,2
D81611,1
D81630,3
D82009,1
D82011,2
D82015,1
D82023,2
D82030,1
D82037,2
D82039,2
D82040,2
D82043,2
D82047,1
D82068,2
D82079,2
D82087,2
D82600,2
D83001,1
D83006,2
D83008,1
D83009,1
D83017,1
D83026,1
D83037,1
D83040,2
D83045,1
D83049,2
D83050,3
D83053,2
D83056,2
D83075,2
D83076,3
D83080,1
D83084,1
E81002,1
E81003,1
E81004,2
E81005,3
E81006,1
E81007,2
E81008,2
E81009,2
E81010,1
E81012,1
E81013,3
E81014,1
E81015,1
E81016,3
E81018,3
E81019,1
E81021,1
E81022,3
E81024,2
E81025,3
E81026,1
E81027,1
E81028,3
E81030,3
E81031,1
E81032,3
E81033,3
E81034,1
E81035,2
E81036,1
E81037,1
E81038,1
E81044,3
E81046,2
E81047,1
E81048,1
E81049,2
E81050,2
E81052,2
E81057,3
E81063,1
E81069,1
