practice_code_standardised,cbt_inbound_17_raw,cbt_outcome_raw_21_raw,cbt_outcome_nhs_ilr_20_raw,cbt_outcome_raw_21_aligned_to_inbound_17,cbt_outcome_nhs_ilr_20_aligned_to_inbound_17
A81004,2,2,3,3,2
A81012,1,1,1,1,1
A81019,1,3,1,2,1
A81041,1,3,1,2,1
A81618,1,3,1,2,1
A82021,1,3,1,2,1
A82035,1,3,1,2,1
A83003,1,1,1,1,1
A83007,1,1,1,1,1
A83015,1,1,1,1,1
A83016,1,1,1,1,1
A83018,1,3,1,2,1
A83021,1,1,1,1,1
A83023,2,2,3,3,2
A83025,1,1,1,1,1
A83031,1,1,1,1,1
A83033,1,1,1,1,1
A83040,1,1,1,1,1
A83041,1,1,1,1,1
A83044,1,1,1,1,1
A83045,1,1,1,1,1
A83046,1,1,1,1,1
A83047,1,3,1,2,1
A83049,1,1,1,1,1
A83054,2,3,3,2,2
A83071,1,1,1,1,1
A83075,1,1,1,1,1
A83618,2,1,3,1,2
A83636,2,3,3,2,2
A84009,1,3,1,2,1
A84014,1,1,1,1,1
A84016,1,1,1,1,1
A84031,2,3,3,2,2
A84034,1,1,1,1,1
A85002,1,1,1,1,1
A85004,2,2,3,3,2
A85006,2,3,3,2,2
A85009,1,1,1,1,1
A85011,1,1,1,1,1
A85016,1,3,1,2,1
A85019,1,3,1,2,1
A85024,1,1,1,1,1
A85611,1,1,1,1,1
A85614,1,1,1,1,1
A85616,1,1,1,1,1
A86008,1,1,1,1,1
A86012,3,2,2,3,3
A86013,1,3,1,2,1
A86017,1,1,1,1,1
A86018,2,3,3,2,2
A86021,2,2,3,3,2
A86022,1,3,1,2,1
A86026,1,1,1,1,1
A86040,2,3,3,2,2
A87004,1,3,1,2,1
A87008,1,1,1,1,1
A87009,1,1,1,1,1
A87011,1,1,1,1,1
A87012,1,3,1,2,1
A87013,1,1,1,1,1
A87029,1,3,1,2,1
A87030,1,1,1,1,1
A88001,1,1,3,1,2
A88006,1,3,1,2,1
A88013,1,3,1,2,1
A88016,3,1,2,1,3
A88022,2,2,3,3,2
A88025,1,1,1,1,1
